ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	27.60	28.60
2	1	1	0.2	0.2	0.80	0.80	27.60	28.60
3	0	1	0	1	0.80	1.80	27.60	28.60
4	1	0	1	0	1.80	1.80	27.60	28.60
5	0	1	0	1	1.80	2.80	27.60	28.60
6	1	0	1	0	2.80	2.80	27.60	28.60
7	0	1	0	1	2.80	3.80	27.60	28.60
8	1	0	1	0	3.80	3.80	27.60	28.60
9	0	1	0	1	3.80	4.80	27.60	28.60
10	1	1	0.2	0.2	4.00	5.00	27.60	28.60
11	1	1	0.2	0.2	4.20	5.20	27.60	28.60
12	0	0	0.6	0.6	4.80	5.80	27.60	28.60
13	0	0	0.6	0.6	5.40	6.40	27.60	28.60
14	0	0	0.6	0.6	6.00	7.00	27.60	28.60
15	0	0	0.6	0.6	6.60	7.60	27.60	28.60
16	0	0	0.6	0.6	7.20	8.20	27.60	28.60
17	0	0	0.6	0.6	7.80	8.80	27.60	28.60
18	0	0	0.6	0.6	8.40	9.40	27.60	28.60
19	0	0	0.6	0.6	9.00	10.00	27.60	28.60
20	0	0	0.6	0.6	9.60	10.60	27.60	28.60
21	0	0	0.6	0.6	10.20	11.20	27.60	28.60
22	0	0	0.6	0.6	10.80	11.80	27.60	28.60
23	0	0	0.6	0.6	11.40	12.40	27.60	28.60
24	0	0	0.6	0.6	12.00	13.00	27.60	28.60
25	0	0	0.6	0.6	12.60	13.60	27.60	28.60
26	0	0	0.6	0.6	13.20	14.20	27.60	28.60
27	0	0	0.6	0.6	13.80	14.80	27.60	28.60
28	0	0	0.6	0.6	14.40	15.40	27.60	28.60
29	0	0	0.6	0.6	15.00	16.00	27.60	28.60
30	0	0	0.6	0.6	15.60	16.60	27.60	28.60
31	0	0	0.6	0.6	16.20	17.20	27.60	28.60
32	0	0	0.6	0.6	16.80	17.80	27.60	28.60
33	0	0	0.6	0.6	17.40	18.40	27.60	28.60
34	0	0	0.6	0.6	18.00	19.00	27.60	28.60
35	0	0	0.6	0.6	18.60	19.60	27.60	28.60
36	0	0	0.6	0.6	19.20	20.20	27.60	28.60
37	0	0	0.6	0.6	19.80	20.80	27.60	28.60
38	0	0	0.6	0.6	20.40	21.40	27.60	28.60
39	0	0	0.6	0.6	21.00	22.00	27.60	28.60
40	0	0	0.6	0.6	21.60	22.60	27.60	28.60
41	0	0	0.6	0.6	22.20	23.20	27.60	28.60
42	0	0	0.6	0.6	22.80	23.80	27.60	28.60
43	0	0	0.6	0.6	23.40	24.40	27.60	28.60
44	0	0	0.6	0.6	24.00	25.00	27.60	28.60
45	0	0	0.6	0.6	24.60	25.60	27.60	28.60
46	0	0	0.6	0.6	25.20	26.20	27.60	28.60
47	0	0	0.6	0.6	25.80	26.80	27.60	28.60
48	0	0	0.6	0.6	26.40	27.40	27.60	28.60
49	0	0	0.6	0.6	27.00	28.00	27.60	28.60
50	0	0	0.6	0.6	27.60	28.60	27.60	28.60
