ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	23.40	25.40
2	1	0	1	0	1.60	0.60	23.40	25.40
3	1	0	1	0	2.60	0.60	23.40	25.40
4	1	1	0.2	0.2	2.80	0.80	23.40	25.40
5	0	0	0.6	0.6	3.40	1.40	23.40	25.40
6	0	0	0.6	0.6	4.00	2.00	23.40	25.40
7	1	0	1	0	5.00	2.00	23.40	25.40
8	0	1	0	1	5.00	3.00	23.40	25.40
9	1	0	1	0	6.00	3.00	23.40	25.40
10	0	1	0	1	6.00	4.00	23.40	25.40
11	1	1	0.2	0.2	6.20	4.20	23.40	25.40
12	0	1	0	1	6.20	5.20	23.40	25.40
13	0	1	0	1	6.20	6.20	23.40	25.40
14	1	1	0.2	0.2	6.40	6.40	23.40	25.40
15	0	1	0	1	6.40	7.40	23.40	25.40
16	1	0	1	0	7.40	7.40	23.40	25.40
17	1	1	0.2	0.2	7.60	7.60	23.40	25.40
18	1	0	1	0	8.60	7.60	23.40	25.40
19	0	1	0	1	8.60	8.60	23.40	25.40
20	0	1	0	1	8.60	9.60	23.40	25.40
21	1	1	0.2	0.2	8.80	9.80	23.40	25.40
22	1	1	0.2	0.2	9.00	10.00	23.40	25.40
23	1	0	1	0	10.00	10.00	23.40	25.40
24	1	1	0.2	0.2	10.20	10.20	23.40	25.40
25	0	1	0	1	10.20	11.20	23.40	25.40
26	0	1	0	1	10.20	12.20	23.40	25.40
27	1	1	0.2	0.2	10.40	12.40	23.40	25.40
28	1	1	0.2	0.2	10.60	12.60	23.40	25.40
29	1	1	0.2	0.2	10.80	12.80	23.40	25.40
30	0	0	0.6	0.6	11.40	13.40	23.40	25.40
31	0	0	0.6	0.6	12.00	14.00	23.40	25.40
32	0	0	0.6	0.6	12.60	14.60	23.40	25.40
33	0	0	0.6	0.6	13.20	15.20	23.40	25.40
34	0	0	0.6	0.6	13.80	15.80	23.40	25.40
35	0	0	0.6	0.6	14.40	16.40	23.40	25.40
36	0	0	0.6	0.6	15.00	17.00	23.40	25.40
37	0	0	0.6	0.6	15.60	17.60	23.40	25.40
38	0	0	0.6	0.6	16.20	18.20	23.40	25.40
39	0	0	0.6	0.6	16.80	18.80	23.40	25.40
40	0	0	0.6	0.6	17.40	19.40	23.40	25.40
41	0	0	0.6	0.6	18.00	20.00	23.40	25.40
42	0	0	0.6	0.6	18.60	20.60	23.40	25.40
43	0	0	0.6	0.6	19.20	21.20	23.40	25.40
44	0	0	0.6	0.6	19.80	21.80	23.40	25.40
45	0	0	0.6	0.6	20.40	22.40	23.40	25.40
46	0	0	0.6	0.6	21.00	23.00	23.40	25.40
47	0	0	0.6	0.6	21.60	23.60	23.40	25.40
48	0	0	0.6	0.6	22.20	24.20	23.40	25.40
49	0	0	0.6	0.6	22.80	24.80	23.40	25.40
50	0	0	0.6	0.6	23.40	25.40	23.40	25.40
