ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	20.60	20.60
2	0	0	0.6	0.6	0.60	1.60	20.60	20.60
3	0	0	0.6	0.6	1.20	2.20	20.60	20.60
4	1	1	0.2	0.2	1.40	2.40	20.60	20.60
5	0	1	0	1	1.40	3.40	20.60	20.60
6	1	1	0.2	0.2	1.60	3.60	20.60	20.60
7	1	0	1	0	2.60	3.60	20.60	20.60
8	1	1	0.2	0.2	2.80	3.80	20.60	20.60
9	1	1	0.2	0.2	3.00	4.00	20.60	20.60
10	1	0	1	0	4.00	4.00	20.60	20.60
11	1	1	0.2	0.2	4.20	4.20	20.60	20.60
12	0	1	0	1	4.20	5.20	20.60	20.60
13	1	1	0.2	0.2	4.40	5.40	20.60	20.60
14	0	0	0.6	0.6	5.00	6.00	20.60	20.60
15	0	1	0	1	5.00	7.00	20.60	20.60
16	1	0	1	0	6.00	7.00	20.60	20.60
17	0	0	0.6	0.6	6.60	7.60	20.60	20.60
18	0	1	0	1	6.60	8.60	20.60	20.60
19	1	0	1	0	7.60	8.60	20.60	20.60
20	0	1	0	1	7.60	9.60	20.60	20.60
21	1	0	1	0	8.60	9.60	20.60	20.60
22	1	0	1	0	9.60	9.60	20.60	20.60
23	1	1	0.2	0.2	9.80	9.80	20.60	20.60
24	1	1	0.2	0.2	10.00	10.00	20.60	20.60
25	0	1	0	1	10.00	11.00	20.60	20.60
26	1	1	0.2	0.2	10.20	11.20	20.60	20.60
27	1	0	1	0	11.20	11.20	20.60	20.60
28	1	1	0.2	0.2	11.40	11.40	20.60	20.60
29	0	1	0	1	11.40	12.40	20.60	20.60
30	0	1	0	1	11.40	13.40	20.60	20.60
31	1	1	0.2	0.2	11.60	13.60	20.60	20.60
32	1	1	0.2	0.2	11.80	13.80	20.60	20.60
33	1	0	1	0	12.80	13.80	20.60	20.60
34	1	1	0.2	0.2	13.00	14.00	20.60	20.60
35	1	1	0.2	0.2	13.20	14.20	20.60	20.60
36	1	1	0.2	0.2	13.40	14.40	20.60	20.60
37	1	1	0.2	0.2	13.60	14.60	20.60	20.60
38	1	0	1	0	14.60	14.60	20.60	20.60
39	0	1	0	1	14.60	15.60	20.60	20.60
40	1	0	1	0	15.60	15.60	20.60	20.60
41	0	1	0	1	15.60	16.60	20.60	20.60
42	1	0	1	0	16.60	16.60	20.60	20.60
43	0	1	0	1	16.60	17.60	20.60	20.60
44	1	0	1	0	17.60	17.60	20.60	20.60
45	0	1	0	1	17.60	18.60	20.60	20.60
46	1	0	1	0	18.60	18.60	20.60	20.60
47	0	1	0	1	18.60	19.60	20.60	20.60
48	1	0	1	0	19.60	19.60	20.60	20.60
49	0	1	0	1	19.60	20.60	20.60	20.60
50	1	0	1	0	20.60	20.60	20.60	20.60
