ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	27.80	28.80
2	1	1	0.2	0.2	0.40	0.40	27.80	28.80
3	0	1	0	1	0.40	1.40	27.80	28.80
4	1	1	0.2	0.2	0.60	1.60	27.80	28.80
5	1	1	0.2	0.2	0.80	1.80	27.80	28.80
6	0	0	0.6	0.6	1.40	2.40	27.80	28.80
7	0	0	0.6	0.6	2.00	3.00	27.80	28.80
8	0	0	0.6	0.6	2.60	3.60	27.80	28.80
9	0	0	0.6	0.6	3.20	4.20	27.80	28.80
10	0	0	0.6	0.6	3.80	4.80	27.80	28.80
11	0	0	0.6	0.6	4.40	5.40	27.80	28.80
12	0	0	0.6	0.6	5.00	6.00	27.80	28.80
13	0	0	0.6	0.6	5.60	6.60	27.80	28.80
14	0	0	0.6	0.6	6.20	7.20	27.80	28.80
15	0	0	0.6	0.6	6.80	7.80	27.80	28.80
16	0	0	0.6	0.6	7.40	8.40	27.80	28.80
17	0	0	0.6	0.6	8.00	9.00	27.80	28.80
18	0	0	0.6	0.6	8.60	9.60	27.80	28.80
19	0	0	0.6	0.6	9.20	10.20	27.80	28.80
20	0	0	0.6	0.6	9.80	10.80	27.80	28.80
21	0	0	0.6	0.6	10.40	11.40	27.80	28.80
22	0	0	0.6	0.6	11.00	12.00	27.80	28.80
23	0	0	0.6	0.6	11.60	12.60	27.80	28.80
24	0	0	0.6	0.6	12.20	13.20	27.80	28.80
25	0	0	0.6	0.6	12.80	13.80	27.80	28.80
26	0	0	0.6	0.6	13.40	14.40	27.80	28.80
27	0	0	0.6	0.6	14.00	15.00	27.80	28.80
28	0	0	0.6	0.6	14.60	15.60	27.80	28.80
29	0	0	0.6	0.6	15.20	16.20	27.80	28.80
30	0	0	0.6	0.6	15.80	16.80	27.80	28.80
31	0	0	0.6	0.6	16.40	17.40	27.80	28.80
32	0	0	0.6	0.6	17.00	18.00	27.80	28.80
33	0	0	0.6	0.6	17.60	18.60	27.80	28.80
34	0	0	0.6	0.6	18.20	19.20	27.80	28.80
35	0	0	0.6	0.6	18.80	19.80	27.80	28.80
36	0	0	0.6	0.6	19.40	20.40	27.80	28.80
37	0	0	0.6	0.6	20.00	21.00	27.80	28.80
38	0	0	0.6	0.6	20.60	21.60	27.80	28.80
39	0	0	0.6	0.6	21.20	22.20	27.80	28.80
40	0	0	0.6	0.6	21.80	22.80	27.80	28.80
41	0	0	0.6	0.6	22.40	23.40	27.80	28.80
42	0	0	0.6	0.6	23.00	24.00	27.80	28.80
43	0	0	0.6	0.6	23.60	24.60	27.80	28.80
44	0	0	0.6	0.6	24.20	25.20	27.80	28.80
45	0	0	0.6	0.6	24.80	25.80	27.80	28.80
46	0	0	0.6	0.6	25.40	26.40	27.80	28.80
47	0	0	0.6	0.6	26.00	27.00	27.80	28.80
48	0	0	0.6	0.6	26.60	27.60	27.80	28.80
49	0	0	0.6	0.6	27.20	28.20	27.80	28.80
50	0	0	0.6	0.6	27.80	28.80	27.80	28.80
