ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	23.80	14.80
2	0	0	0.6	0.6	0.60	1.60	23.80	14.80
3	1	1	0.2	0.2	0.80	1.80	23.80	14.80
4	1	1	0.2	0.2	1.00	2.00	23.80	14.80
5	0	0	0.6	0.6	1.60	2.60	23.80	14.80
6	1	1	0.2	0.2	1.80	2.80	23.80	14.80
7	1	1	0.2	0.2	2.00	3.00	23.80	14.80
8	0	0	0.6	0.6	2.60	3.60	23.80	14.80
9	0	0	0.6	0.6	3.20	4.20	23.80	14.80
10	1	1	0.2	0.2	3.40	4.40	23.80	14.80
11	1	1	0.2	0.2	3.60	4.60	23.80	14.80
12	1	1	0.2	0.2	3.80	4.80	23.80	14.80
13	0	0	0.6	0.6	4.40	5.40	23.80	14.80
14	1	1	0.2	0.2	4.60	5.60	23.80	14.80
15	1	1	0.2	0.2	4.80	5.80	23.80	14.80
16	0	0	0.6	0.6	5.40	6.40	23.80	14.80
17	1	1	0.2	0.2	5.60	6.60	23.80	14.80
18	1	1	0.2	0.2	5.80	6.80	23.80	14.80
19	0	0	0.6	0.6	6.40	7.40	23.80	14.80
20	1	1	0.2	0.2	6.60	7.60	23.80	14.80
21	1	1	0.2	0.2	6.80	7.80	23.80	14.80
22	0	0	0.6	0.6	7.40	8.40	23.80	14.80
23	1	1	0.2	0.2	7.60	8.60	23.80	14.80
24	1	1	0.2	0.2	7.80	8.80	23.80	14.80
25	0	0	0.6	0.6	8.40	9.40	23.80	14.80
26	1	1	0.2	0.2	8.60	9.60	23.80	14.80
27	1	0	1	0	9.60	9.60	23.80	14.80
28	0	0	0.6	0.6	10.20	10.20	23.80	14.80
29	1	1	0.2	0.2	10.40	10.40	23.80	14.80
30	1	1	0.2	0.2	10.60	10.60	23.80	14.80
31	0	0	0.6	0.6	11.20	11.20	23.80	14.80
32	1	1	0.2	0.2	11.40	11.40	23.80	14.80
33	1	1	0.2	0.2	11.60	11.60	23.80	14.80
34	0	0	0.6	0.6	12.20	12.20	23.80	14.80
35	1	1	0.2	0.2	12.40	12.40	23.80	14.80
36	1	1	0.2	0.2	12.60	12.60	23.80	14.80
37	0	0	0.6	0.6	13.20	13.20	23.80	14.80
38	1	1	0.2	0.2	13.40	13.40	23.80	14.80
39	1	1	0.2	0.2	13.60	13.60	23.80	14.80
40	1	0	1	0	14.60	13.60	23.80	14.80
41	1	0	1	0	15.60	13.60	23.80	14.80
42	1	0	1	0	16.60	13.60	23.80	14.80
43	1	0	1	0	17.60	13.60	23.80	14.80
44	0	0	0.6	0.6	18.20	14.20	23.80	14.80
45	1	0	1	0	19.20	14.20	23.80	14.80
46	0	0	0.6	0.6	19.80	14.80	23.80	14.80
47	1	0	1	0	20.80	14.80	23.80	14.80
48	1	0	1	0	21.80	14.80	23.80	14.80
49	1	0	1	0	22.80	14.80	23.80	14.80
50	1	0	1	0	23.80	14.80	23.80	14.80
