ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	26.60	13.60
2	0	1	0	1	0.60	1.60	26.60	13.60
3	1	0	1	0	1.60	1.60	26.60	13.60
4	0	1	0	1	1.60	2.60	26.60	13.60
5	1	0	1	0	2.60	2.60	26.60	13.60
6	0	0	0.6	0.6	3.20	3.20	26.60	13.60
7	0	1	0	1	3.20	4.20	26.60	13.60
8	1	0	1	0	4.20	4.20	26.60	13.60
9	1	0	1	0	5.20	4.20	26.60	13.60
10	1	0	1	0	6.20	4.20	26.60	13.60
11	1	0	1	0	7.20	4.20	26.60	13.60
12	1	0	1	0	8.20	4.20	26.60	13.60
13	1	1	0.2	0.2	8.40	4.40	26.60	13.60
14	1	1	0.2	0.2	8.60	4.60	26.60	13.60
15	0	0	0.6	0.6	9.20	5.20	26.60	13.60
16	0	0	0.6	0.6	9.80	5.80	26.60	13.60
17	1	0	1	0	10.80	5.80	26.60	13.60
18	1	1	0.2	0.2	11.00	6.00	26.60	13.60
19	1	1	0.2	0.2	11.20	6.20	26.60	13.60
20	0	0	0.6	0.6	11.80	6.80	26.60	13.60
21	1	0	1	0	12.80	6.80	26.60	13.60
22	1	1	0.2	0.2	13.00	7.00	26.60	13.60
23	1	1	0.2	0.2	13.20	7.20	26.60	13.60
24	0	0	0.6	0.6	13.80	7.80	26.60	13.60
25	1	0	1	0	14.80	7.80	26.60	13.60
26	1	1	0.2	0.2	15.00	8.00	26.60	13.60
27	1	1	0.2	0.2	15.20	8.20	26.60	13.60
28	0	0	0.6	0.6	15.80	8.80	26.60	13.60
29	0	0	0.6	0.6	16.40	9.40	26.60	13.60
30	1	0	1	0	17.40	9.40	26.60	13.60
31	1	1	0.2	0.2	17.60	9.60	26.60	13.60
32	1	1	0.2	0.2	17.80	9.80	26.60	13.60
33	0	0	0.6	0.6	18.40	10.40	26.60	13.60
34	1	1	0.2	0.2	18.60	10.60	26.60	13.60
35	1	0	1	0	19.60	10.60	26.60	13.60
36	1	1	0.2	0.2	19.80	10.80	26.60	13.60
37	1	1	0.2	0.2	20.00	11.00	26.60	13.60
38	1	0	1	0	21.00	11.00	26.60	13.60
39	1	1	0.2	0.2	21.20	11.20	26.60	13.60
40	1	1	0.2	0.2	21.40	11.40	26.60	13.60
41	1	0	1	0	22.40	11.40	26.60	13.60
42	1	1	0.2	0.2	22.60	11.60	26.60	13.60
43	1	0	1	0	23.60	11.60	26.60	13.60
44	1	1	0.2	0.2	23.80	11.80	26.60	13.60
45	1	1	0.2	0.2	24.00	12.00	26.60	13.60
46	1	0	1	0	25.00	12.00	26.60	13.60
47	1	1	0.2	0.2	25.20	12.20	26.60	13.60
48	1	1	0.2	0.2	25.40	12.40	26.60	13.60
49	0	0	0.6	0.6	26.00	13.00	26.60	13.60
50	0	0	0.6	0.6	26.60	13.60	26.60	13.60
