ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	19.40	20.40
2	0	0	0.6	0.6	0.60	1.60	19.40	20.40
3	1	0	1	0	1.60	1.60	19.40	20.40
4	0	0	0.6	0.6	2.20	2.20	19.40	20.40
5	1	1	0.2	0.2	2.40	2.40	19.40	20.40
6	1	1	0.2	0.2	2.60	2.60	19.40	20.40
7	0	1	0	1	2.60	3.60	19.40	20.40
8	0	0	0.6	0.6	3.20	4.20	19.40	20.40
9	1	1	0.2	0.2	3.40	4.40	19.40	20.40
10	1	1	0.2	0.2	3.60	4.60	19.40	20.40
11	0	0	0.6	0.6	4.20	5.20	19.40	20.40
12	1	1	0.2	0.2	4.40	5.40	19.40	20.40
13	1	1	0.2	0.2	4.60	5.60	19.40	20.40
14	0	0	0.6	0.6	5.20	6.20	19.40	20.40
15	0	1	0	1	5.20	7.20	19.40	20.40
16	0	0	0.6	0.6	5.80	7.80	19.40	20.40
17	1	1	0.2	0.2	6.00	8.00	19.40	20.40
18	1	1	0.2	0.2	6.20	8.20	19.40	20.40
19	1	0	1	0	7.20	8.20	19.40	20.40
20	0	0	0.6	0.6	7.80	8.80	19.40	20.40
21	1	1	0.2	0.2	8.00	9.00	19.40	20.40
22	1	0	1	0	9.00	9.00	19.40	20.40
23	0	1	0	1	9.00	10.00	19.40	20.40
24	0	0	0.6	0.6	9.60	10.60	19.40	20.40
25	1	0	1	0	10.60	10.60	19.40	20.40
26	0	1	0	1	10.60	11.60	19.40	20.40
27	0	0	0.6	0.6	11.20	12.20	19.40	20.40
28	1	1	0.2	0.2	11.40	12.40	19.40	20.40
29	1	1	0.2	0.2	11.60	12.60	19.40	20.40
30	0	0	0.6	0.6	12.20	13.20	19.40	20.40
31	1	1	0.2	0.2	12.40	13.40	19.40	20.40
32	1	1	0.2	0.2	12.60	13.60	19.40	20.40
33	0	0	0.6	0.6	13.20	14.20	19.40	20.40
34	1	1	0.2	0.2	13.40	14.40	19.40	20.40
35	1	1	0.2	0.2	13.60	14.60	19.40	20.40
36	0	0	0.6	0.6	14.20	15.20	19.40	20.40
37	1	1	0.2	0.2	14.40	15.40	19.40	20.40
38	1	1	0.2	0.2	14.60	15.60	19.40	20.40
39	0	1	0	1	14.60	16.60	19.40	20.40
40	0	0	0.6	0.6	15.20	17.20	19.40	20.40
41	1	1	0.2	0.2	15.40	17.40	19.40	20.40
42	1	1	0.2	0.2	15.60	17.60	19.40	20.40
43	0	0	0.6	0.6	16.20	18.20	19.40	20.40
44	1	1	0.2	0.2	16.40	18.40	19.40	20.40
45	0	1	0	1	16.40	19.40	19.40	20.40
46	1	0	1	0	17.40	19.40	19.40	20.40
47	0	0	0.6	0.6	18.00	20.00	19.40	20.40
48	1	1	0.2	0.2	18.20	20.20	19.40	20.40
49	1	1	0.2	0.2	18.40	20.40	19.40	20.40
50	1	0	1	0	19.40	20.40	19.40	20.40
