ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	30.40	24.40
2	0	0	0.6	0.6	0.60	1.60	30.40	24.40
3	0	0	0.6	0.6	1.20	2.20	30.40	24.40
4	0	0	0.6	0.6	1.80	2.80	30.40	24.40
5	0	0	0.6	0.6	2.40	3.40	30.40	24.40
6	0	0	0.6	0.6	3.00	4.00	30.40	24.40
7	0	0	0.6	0.6	3.60	4.60	30.40	24.40
8	1	0	1	0	4.60	4.60	30.40	24.40
9	0	0	0.6	0.6	5.20	5.20	30.40	24.40
10	0	0	0.6	0.6	5.80	5.80	30.40	24.40
11	0	1	0	1	5.80	6.80	30.40	24.40
12	0	0	0.6	0.6	6.40	7.40	30.40	24.40
13	0	0	0.6	0.6	7.00	8.00	30.40	24.40
14	0	0	0.6	0.6	7.60	8.60	30.40	24.40
15	0	0	0.6	0.6	8.20	9.20	30.40	24.40
16	0	0	0.6	0.6	8.80	9.80	30.40	24.40
17	0	0	0.6	0.6	9.40	10.40	30.40	24.40
18	0	0	0.6	0.6	10.00	11.00	30.40	24.40
19	0	0	0.6	0.6	10.60	11.60	30.40	24.40
20	0	0	0.6	0.6	11.20	12.20	30.40	24.40
21	0	0	0.6	0.6	11.80	12.80	30.40	24.40
22	0	0	0.6	0.6	12.40	13.40	30.40	24.40
23	0	0	0.6	0.6	13.00	14.00	30.40	24.40
24	0	0	0.6	0.6	13.60	14.60	30.40	24.40
25	0	0	0.6	0.6	14.20	15.20	30.40	24.40
26	0	0	0.6	0.6	14.80	15.80	30.40	24.40
27	0	0	0.6	0.6	15.40	16.40	30.40	24.40
28	0	0	0.6	0.6	16.00	17.00	30.40	24.40
29	0	0	0.6	0.6	16.60	17.60	30.40	24.40
30	0	0	0.6	0.6	17.20	18.20	30.40	24.40
31	0	0	0.6	0.6	17.80	18.80	30.40	24.40
32	0	0	0.6	0.6	18.40	19.40	30.40	24.40
33	0	0	0.6	0.6	19.00	20.00	30.40	24.40
34	0	0	0.6	0.6	19.60	20.60	30.40	24.40
35	0	1	0	1	19.60	21.60	30.40	24.40
36	1	1	0.2	0.2	19.80	21.80	30.40	24.40
37	1	0	1	0	20.80	21.80	30.40	24.40
38	0	1	0	1	20.80	22.80	30.40	24.40
39	1	1	0.2	0.2	21.00	23.00	30.40	24.40
40	1	1	0.2	0.2	21.20	23.20	30.40	24.40
41	1	0	1	0	22.20	23.20	30.40	24.40
42	0	0	0.6	0.6	22.80	23.80	30.40	24.40
43	0	0	0.6	0.6	23.40	24.40	30.40	24.40
44	1	0	1	0	24.40	24.40	30.40	24.40
45	1	0	1	0	25.40	24.40	30.40	24.40
46	1	0	1	0	26.40	24.40	30.40	24.40
47	1	0	1	0	27.40	24.40	30.40	24.40
48	1	0	1	0	28.40	24.40	30.40	24.40
49	1	0	1	0	29.40	24.40	30.40	24.40
50	1	0	1	0	30.40	24.40	30.40	24.40
