ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	22.40	15.40
2	0	0	0.6	0.6	0.80	0.80	22.40	15.40
3	1	0	1	0	1.80	0.80	22.40	15.40
4	0	0	0.6	0.6	2.40	1.40	22.40	15.40
5	1	1	0.2	0.2	2.60	1.60	22.40	15.40
6	1	1	0.2	0.2	2.80	1.80	22.40	15.40
7	0	1	0	1	2.80	2.80	22.40	15.40
8	0	0	0.6	0.6	3.40	3.40	22.40	15.40
9	1	1	0.2	0.2	3.60	3.60	22.40	15.40
10	1	1	0.2	0.2	3.80	3.80	22.40	15.40
11	0	0	0.6	0.6	4.40	4.40	22.40	15.40
12	1	0	1	0	5.40	4.40	22.40	15.40
13	0	0	0.6	0.6	6.00	5.00	22.40	15.40
14	1	1	0.2	0.2	6.20	5.20	22.40	15.40
15	1	1	0.2	0.2	6.40	5.40	22.40	15.40
16	0	1	0	1	6.40	6.40	22.40	15.40
17	0	0	0.6	0.6	7.00	7.00	22.40	15.40
18	1	1	0.2	0.2	7.20	7.20	22.40	15.40
19	1	1	0.2	0.2	7.40	7.40	22.40	15.40
20	0	0	0.6	0.6	8.00	8.00	22.40	15.40
21	1	1	0.2	0.2	8.20	8.20	22.40	15.40
22	1	1	0.2	0.2	8.40	8.40	22.40	15.40
23	0	0	0.6	0.6	9.00	9.00	22.40	15.40
24	1	1	0.2	0.2	9.20	9.20	22.40	15.40
25	1	1	0.2	0.2	9.40	9.40	22.40	15.40
26	0	0	0.6	0.6	10.00	10.00	22.40	15.40
27	1	1	0.2	0.2	10.20	10.20	22.40	15.40
28	1	1	0.2	0.2	10.40	10.40	22.40	15.40
29	0	0	0.6	0.6	11.00	11.00	22.40	15.40
30	1	1	0.2	0.2	11.20	11.20	22.40	15.40
31	1	1	0.2	0.2	11.40	11.40	22.40	15.40
32	0	0	0.6	0.6	12.00	12.00	22.40	15.40
33	1	1	0.2	0.2	12.20	12.20	22.40	15.40
34	1	1	0.2	0.2	12.40	12.40	22.40	15.40
35	0	0	0.6	0.6	13.00	13.00	22.40	15.40
36	1	1	0.2	0.2	13.20	13.20	22.40	15.40
37	1	1	0.2	0.2	13.40	13.40	22.40	15.40
38	0	0	0.6	0.6	14.00	14.00	22.40	15.40
39	1	1	0.2	0.2	14.20	14.20	22.40	15.40
40	1	1	0.2	0.2	14.40	14.40	22.40	15.40
41	0	0	0.6	0.6	15.00	15.00	22.40	15.40
42	1	1	0.2	0.2	15.20	15.20	22.40	15.40
43	1	1	0.2	0.2	15.40	15.40	22.40	15.40
44	1	0	1	0	16.40	15.40	22.40	15.40
45	1	0	1	0	17.40	15.40	22.40	15.40
46	1	0	1	0	18.40	15.40	22.40	15.40
47	1	0	1	0	19.40	15.40	22.40	15.40
48	1	0	1	0	20.40	15.40	22.40	15.40
49	1	0	1	0	21.40	15.40	22.40	15.40
50	1	0	1	0	22.40	15.40	22.40	15.40
