ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	26.80	26.80
2	0	0	0.6	0.6	0.80	0.80	26.80	26.80
3	1	0	1	0	1.80	0.80	26.80	26.80
4	0	0	0.6	0.6	2.40	1.40	26.80	26.80
5	0	0	0.6	0.6	3.00	2.00	26.80	26.80
6	0	0	0.6	0.6	3.60	2.60	26.80	26.80
7	0	0	0.6	0.6	4.20	3.20	26.80	26.80
8	0	0	0.6	0.6	4.80	3.80	26.80	26.80
9	0	0	0.6	0.6	5.40	4.40	26.80	26.80
10	0	0	0.6	0.6	6.00	5.00	26.80	26.80
11	0	0	0.6	0.6	6.60	5.60	26.80	26.80
12	0	0	0.6	0.6	7.20	6.20	26.80	26.80
13	0	0	0.6	0.6	7.80	6.80	26.80	26.80
14	0	0	0.6	0.6	8.40	7.40	26.80	26.80
15	0	0	0.6	0.6	9.00	8.00	26.80	26.80
16	0	0	0.6	0.6	9.60	8.60	26.80	26.80
17	0	0	0.6	0.6	10.20	9.20	26.80	26.80
18	0	1	0	1	10.20	10.20	26.80	26.80
19	0	0	0.6	0.6	10.80	10.80	26.80	26.80
20	0	0	0.6	0.6	11.40	11.40	26.80	26.80
21	0	0	0.6	0.6	12.00	12.00	26.80	26.80
22	0	0	0.6	0.6	12.60	12.60	26.80	26.80
23	0	0	0.6	0.6	13.20	13.20	26.80	26.80
24	0	0	0.6	0.6	13.80	13.80	26.80	26.80
25	0	0	0.6	0.6	14.40	14.40	26.80	26.80
26	0	0	0.6	0.6	15.00	15.00	26.80	26.80
27	0	0	0.6	0.6	15.60	15.60	26.80	26.80
28	0	0	0.6	0.6	16.20	16.20	26.80	26.80
29	0	0	0.6	0.6	16.80	16.80	26.80	26.80
30	0	0	0.6	0.6	17.40	17.40	26.80	26.80
31	1	0	1	0	18.40	17.40	26.80	26.80
32	1	1	0.2	0.2	18.60	17.60	26.80	26.80
33	1	1	0.2	0.2	18.80	17.80	26.80	26.80
34	0	1	0	1	18.80	18.80	26.80	26.80
35	1	0	1	0	19.80	18.80	26.80	26.80
36	0	1	0	1	19.80	19.80	26.80	26.80
37	1	0	1	0	20.80	19.80	26.80	26.80
38	0	1	0	1	20.80	20.80	26.80	26.80
39	1	0	1	0	21.80	20.80	26.80	26.80
40	0	1	0	1	21.80	21.80	26.80	26.80
41	1	0	1	0	22.80	21.80	26.80	26.80
42	0	1	0	1	22.80	22.80	26.80	26.80
43	1	0	1	0	23.80	22.80	26.80	26.80
44	0	1	0	1	23.80	23.80	26.80	26.80
45	1	0	1	0	24.80	23.80	26.80	26.80
46	0	1	0	1	24.80	24.80	26.80	26.80
47	1	0	1	0	25.80	24.80	26.80	26.80
48	0	1	0	1	25.80	25.80	26.80	26.80
49	1	0	1	0	26.80	25.80	26.80	26.80
50	0	1	0	1	26.80	26.80	26.80	26.80
