ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	25.60	25.60
2	0	1	0	1	0.60	1.60	25.60	25.60
3	0	0	0.6	0.6	1.20	2.20	25.60	25.60
4	0	0	0.6	0.6	1.80	2.80	25.60	25.60
5	0	0	0.6	0.6	2.40	3.40	25.60	25.60
6	0	0	0.6	0.6	3.00	4.00	25.60	25.60
7	0	0	0.6	0.6	3.60	4.60	25.60	25.60
8	1	0	1	0	4.60	4.60	25.60	25.60
9	0	1	0	1	4.60	5.60	25.60	25.60
10	1	0	1	0	5.60	5.60	25.60	25.60
11	0	1	0	1	5.60	6.60	25.60	25.60
12	1	0	1	0	6.60	6.60	25.60	25.60
13	0	1	0	1	6.60	7.60	25.60	25.60
14	1	0	1	0	7.60	7.60	25.60	25.60
15	0	1	0	1	7.60	8.60	25.60	25.60
16	1	0	1	0	8.60	8.60	25.60	25.60
17	0	1	0	1	8.60	9.60	25.60	25.60
18	1	0	1	0	9.60	9.60	25.60	25.60
19	0	1	0	1	9.60	10.60	25.60	25.60
20	1	0	1	0	10.60	10.60	25.60	25.60
21	0	1	0	1	10.60	11.60	25.60	25.60
22	1	0	1	0	11.60	11.60	25.60	25.60
23	0	1	0	1	11.60	12.60	25.60	25.60
24	1	0	1	0	12.60	12.60	25.60	25.60
25	0	1	0	1	12.60	13.60	25.60	25.60
26	1	0	1	0	13.60	13.60	25.60	25.60
27	0	1	0	1	13.60	14.60	25.60	25.60
28	1	0	1	0	14.60	14.60	25.60	25.60
29	0	1	0	1	14.60	15.60	25.60	25.60
30	1	0	1	0	15.60	15.60	25.60	25.60
31	0	1	0	1	15.60	16.60	25.60	25.60
32	1	0	1	0	16.60	16.60	25.60	25.60
33	0	1	0	1	16.60	17.60	25.60	25.60
34	1	0	1	0	17.60	17.60	25.60	25.60
35	0	1	0	1	17.60	18.60	25.60	25.60
36	1	0	1	0	18.60	18.60	25.60	25.60
37	0	1	0	1	18.60	19.60	25.60	25.60
38	1	0	1	0	19.60	19.60	25.60	25.60
39	0	1	0	1	19.60	20.60	25.60	25.60
40	1	0	1	0	20.60	20.60	25.60	25.60
41	0	1	0	1	20.60	21.60	25.60	25.60
42	1	0	1	0	21.60	21.60	25.60	25.60
43	0	1	0	1	21.60	22.60	25.60	25.60
44	1	0	1	0	22.60	22.60	25.60	25.60
45	0	1	0	1	22.60	23.60	25.60	25.60
46	1	0	1	0	23.60	23.60	25.60	25.60
47	0	1	0	1	23.60	24.60	25.60	25.60
48	1	0	1	0	24.60	24.60	25.60	25.60
49	0	1	0	1	24.60	25.60	25.60	25.60
50	1	0	1	0	25.60	25.60	25.60	25.60
