ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	26.20	26.20
2	0	0	0.6	0.6	0.60	1.60	26.20	26.20
3	0	0	0.6	0.6	1.20	2.20	26.20	26.20
4	1	0	1	0	2.20	2.20	26.20	26.20
5	0	0	0.6	0.6	2.80	2.80	26.20	26.20
6	0	0	0.6	0.6	3.40	3.40	26.20	26.20
7	0	0	0.6	0.6	4.00	4.00	26.20	26.20
8	0	0	0.6	0.6	4.60	4.60	26.20	26.20
9	0	0	0.6	0.6	5.20	5.20	26.20	26.20
10	0	0	0.6	0.6	5.80	5.80	26.20	26.20
11	0	1	0	1	5.80	6.80	26.20	26.20
12	1	0	1	0	6.80	6.80	26.20	26.20
13	0	1	0	1	6.80	7.80	26.20	26.20
14	1	0	1	0	7.80	7.80	26.20	26.20
15	0	1	0	1	7.80	8.80	26.20	26.20
16	1	0	1	0	8.80	8.80	26.20	26.20
17	0	1	0	1	8.80	9.80	26.20	26.20
18	1	0	1	0	9.80	9.80	26.20	26.20
19	0	1	0	1	9.80	10.80	26.20	26.20
20	1	0	1	0	10.80	10.80	26.20	26.20
21	0	1	0	1	10.80	11.80	26.20	26.20
22	1	0	1	0	11.80	11.80	26.20	26.20
23	0	1	0	1	11.80	12.80	26.20	26.20
24	1	0	1	0	12.80	12.80	26.20	26.20
25	0	1	0	1	12.80	13.80	26.20	26.20
26	1	0	1	0	13.80	13.80	26.20	26.20
27	0	1	0	1	13.80	14.80	26.20	26.20
28	1	0	1	0	14.80	14.80	26.20	26.20
29	0	1	0	1	14.80	15.80	26.20	26.20
30	1	0	1	0	15.80	15.80	26.20	26.20
31	0	1	0	1	15.80	16.80	26.20	26.20
32	1	0	1	0	16.80	16.80	26.20	26.20
33	0	1	0	1	16.80	17.80	26.20	26.20
34	1	0	1	0	17.80	17.80	26.20	26.20
35	0	1	0	1	17.80	18.80	26.20	26.20
36	1	0	1	0	18.80	18.80	26.20	26.20
37	0	1	0	1	18.80	19.80	26.20	26.20
38	0	0	0.6	0.6	19.40	20.40	26.20	26.20
39	0	1	0	1	19.40	21.40	26.20	26.20
40	1	0	1	0	20.40	21.40	26.20	26.20
41	0	1	0	1	20.40	22.40	26.20	26.20
42	1	0	1	0	21.40	22.40	26.20	26.20
43	0	1	0	1	21.40	23.40	26.20	26.20
44	0	0	0.6	0.6	22.00	24.00	26.20	26.20
45	0	1	0	1	22.00	25.00	26.20	26.20
46	1	0	1	0	23.00	25.00	26.20	26.20
47	0	0	0.6	0.6	23.60	25.60	26.20	26.20
48	1	0	1	0	24.60	25.60	26.20	26.20
49	0	0	0.6	0.6	25.20	26.20	26.20	26.20
50	1	0	1	0	26.20	26.20	26.20	26.20
