ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	19.80	17.80
2	0	0	0.6	0.6	0.80	0.80	19.80	17.80
3	1	1	0.2	0.2	1.00	1.00	19.80	17.80
4	1	1	0.2	0.2	1.20	1.20	19.80	17.80
5	0	0	0.6	0.6	1.80	1.80	19.80	17.80
6	1	0	1	0	2.80	1.80	19.80	17.80
7	0	0	0.6	0.6	3.40	2.40	19.80	17.80
8	1	1	0.2	0.2	3.60	2.60	19.80	17.80
9	1	1	0.2	0.2	3.80	2.80	19.80	17.80
10	0	1	0	1	3.80	3.80	19.80	17.80
11	0	0	0.6	0.6	4.40	4.40	19.80	17.80
12	1	1	0.2	0.2	4.60	4.60	19.80	17.80
13	1	1	0.2	0.2	4.80	4.80	19.80	17.80
14	0	0	0.6	0.6	5.40	5.40	19.80	17.80
15	1	1	0.2	0.2	5.60	5.60	19.80	17.80
16	1	1	0.2	0.2	5.80	5.80	19.80	17.80
17	0	0	0.6	0.6	6.40	6.40	19.80	17.80
18	1	1	0.2	0.2	6.60	6.60	19.80	17.80
19	1	1	0.2	0.2	6.80	6.80	19.80	17.80
20	0	0	0.6	0.6	7.40	7.40	19.80	17.80
21	1	1	0.2	0.2	7.60	7.60	19.80	17.80
22	1	1	0.2	0.2	7.80	7.80	19.80	17.80
23	0	0	0.6	0.6	8.40	8.40	19.80	17.80
24	1	1	0.2	0.2	8.60	8.60	19.80	17.80
25	1	1	0.2	0.2	8.80	8.80	19.80	17.80
26	0	0	0.6	0.6	9.40	9.40	19.80	17.80
27	1	1	0.2	0.2	9.60	9.60	19.80	17.80
28	1	1	0.2	0.2	9.80	9.80	19.80	17.80
29	0	0	0.6	0.6	10.40	10.40	19.80	17.80
30	1	1	0.2	0.2	10.60	10.60	19.80	17.80
31	1	1	0.2	0.2	10.80	10.80	19.80	17.80
32	0	0	0.6	0.6	11.40	11.40	19.80	17.80
33	1	0	1	0	12.40	11.40	19.80	17.80
34	0	0	0.6	0.6	13.00	12.00	19.80	17.80
35	1	1	0.2	0.2	13.20	12.20	19.80	17.80
36	1	1	0.2	0.2	13.40	12.40	19.80	17.80
37	0	1	0	1	13.40	13.40	19.80	17.80
38	0	0	0.6	0.6	14.00	14.00	19.80	17.80
39	1	1	0.2	0.2	14.20	14.20	19.80	17.80
40	0	1	0	1	14.20	15.20	19.80	17.80
41	1	0	1	0	15.20	15.20	19.80	17.80
42	1	0	1	0	16.20	15.20	19.80	17.80
43	1	0	1	0	17.20	15.20	19.80	17.80
44	0	0	0.6	0.6	17.80	15.80	19.80	17.80
45	1	1	0.2	0.2	18.00	16.00	19.80	17.80
46	1	1	0.2	0.2	18.20	16.20	19.80	17.80
47	0	0	0.6	0.6	18.80	16.80	19.80	17.80
48	1	1	0.2	0.2	19.00	17.00	19.80	17.80
49	1	1	0.2	0.2	19.20	17.20	19.80	17.80
50	0	0	0.6	0.6	19.80	17.80	19.80	17.80
