ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	22.80	20.80
2	0	0	0.6	0.6	1.20	1.20	22.80	20.80
3	0	0	0.6	0.6	1.80	1.80	22.80	20.80
4	0	1	0	1	1.80	2.80	22.80	20.80
5	0	1	0	1	1.80	3.80	22.80	20.80
6	0	0	0.6	0.6	2.40	4.40	22.80	20.80
7	1	0	1	0	3.40	4.40	22.80	20.80
8	1	0	1	0	4.40	4.40	22.80	20.80
9	1	0	1	0	5.40	4.40	22.80	20.80
10	1	0	1	0	6.40	4.40	22.80	20.80
11	0	0	0.6	0.6	7.00	5.00	22.80	20.80
12	1	0	1	0	8.00	5.00	22.80	20.80
13	0	1	0	1	8.00	6.00	22.80	20.80
14	0	0	0.6	0.6	8.60	6.60	22.80	20.80
15	1	1	0.2	0.2	8.80	6.80	22.80	20.80
16	1	1	0.2	0.2	9.00	7.00	22.80	20.80
17	0	0	0.6	0.6	9.60	7.60	22.80	20.80
18	1	1	0.2	0.2	9.80	7.80	22.80	20.80
19	1	1	0.2	0.2	10.00	8.00	22.80	20.80
20	0	0	0.6	0.6	10.60	8.60	22.80	20.80
21	1	0	1	0	11.60	8.60	22.80	20.80
22	0	0	0.6	0.6	12.20	9.20	22.80	20.80
23	0	1	0	1	12.20	10.20	22.80	20.80
24	0	1	0	1	12.20	11.20	22.80	20.80
25	0	0	0.6	0.6	12.80	11.80	22.80	20.80
26	1	1	0.2	0.2	13.00	12.00	22.80	20.80
27	1	1	0.2	0.2	13.20	12.20	22.80	20.80
28	0	0	0.6	0.6	13.80	12.80	22.80	20.80
29	0	1	0	1	13.80	13.80	22.80	20.80
30	1	0	1	0	14.80	13.80	22.80	20.80
31	1	0	1	0	15.80	13.80	22.80	20.80
32	0	0	0.6	0.6	16.40	14.40	22.80	20.80
33	1	1	0.2	0.2	16.60	14.60	22.80	20.80
34	1	1	0.2	0.2	16.80	14.80	22.80	20.80
35	1	0	1	0	17.80	14.80	22.80	20.80
36	1	0	1	0	18.80	14.80	22.80	20.80
37	0	0	0.6	0.6	19.40	15.40	22.80	20.80
38	1	1	0.2	0.2	19.60	15.60	22.80	20.80
39	1	1	0.2	0.2	19.80	15.80	22.80	20.80
40	0	0	0.6	0.6	20.40	16.40	22.80	20.80
41	1	1	0.2	0.2	20.60	16.60	22.80	20.80
42	1	1	0.2	0.2	20.80	16.80	22.80	20.80
43	0	0	0.6	0.6	21.40	17.40	22.80	20.80
44	1	1	0.2	0.2	21.60	17.60	22.80	20.80
45	1	1	0.2	0.2	21.80	17.80	22.80	20.80
46	0	1	0	1	21.80	18.80	22.80	20.80
47	0	0	0.6	0.6	22.40	19.40	22.80	20.80
48	1	1	0.2	0.2	22.60	19.60	22.80	20.80
49	1	1	0.2	0.2	22.80	19.80	22.80	20.80
50	0	1	0	1	22.80	20.80	22.80	20.80
