ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	22.20	15.20
2	0	0	0.6	0.6	0.80	0.80	22.20	15.20
3	0	0	0.6	0.6	1.40	1.40	22.20	15.20
4	1	1	0.2	0.2	1.60	1.60	22.20	15.20
5	1	1	0.2	0.2	1.80	1.80	22.20	15.20
6	1	1	0.2	0.2	2.00	2.00	22.20	15.20
7	0	0	0.6	0.6	2.60	2.60	22.20	15.20
8	1	1	0.2	0.2	2.80	2.80	22.20	15.20
9	1	1	0.2	0.2	3.00	3.00	22.20	15.20
10	0	0	0.6	0.6	3.60	3.60	22.20	15.20
11	1	1	0.2	0.2	3.80	3.80	22.20	15.20
12	1	1	0.2	0.2	4.00	4.00	22.20	15.20
13	0	0	0.6	0.6	4.60	4.60	22.20	15.20
14	1	1	0.2	0.2	4.80	4.80	22.20	15.20
15	1	1	0.2	0.2	5.00	5.00	22.20	15.20
16	0	0	0.6	0.6	5.60	5.60	22.20	15.20
17	0	1	0	1	5.60	6.60	22.20	15.20
18	1	0	1	0	6.60	6.60	22.20	15.20
19	1	0	1	0	7.60	6.60	22.20	15.20
20	0	0	0.6	0.6	8.20	7.20	22.20	15.20
21	1	0	1	0	9.20	7.20	22.20	15.20
22	0	0	0.6	0.6	9.80	7.80	22.20	15.20
23	1	1	0.2	0.2	10.00	8.00	22.20	15.20
24	1	1	0.2	0.2	10.20	8.20	22.20	15.20
25	0	0	0.6	0.6	10.80	8.80	22.20	15.20
26	1	1	0.2	0.2	11.00	9.00	22.20	15.20
27	1	1	0.2	0.2	11.20	9.20	22.20	15.20
28	0	0	0.6	0.6	11.80	9.80	22.20	15.20
29	1	1	0.2	0.2	12.00	10.00	22.20	15.20
30	1	1	0.2	0.2	12.20	10.20	22.20	15.20
31	0	0	0.6	0.6	12.80	10.80	22.20	15.20
32	1	1	0.2	0.2	13.00	11.00	22.20	15.20
33	1	1	0.2	0.2	13.20	11.20	22.20	15.20
34	0	0	0.6	0.6	13.80	11.80	22.20	15.20
35	1	1	0.2	0.2	14.00	12.00	22.20	15.20
36	1	1	0.2	0.2	14.20	12.20	22.20	15.20
37	0	0	0.6	0.6	14.80	12.80	22.20	15.20
38	1	1	0.2	0.2	15.00	13.00	22.20	15.20
39	1	1	0.2	0.2	15.20	13.20	22.20	15.20
40	0	0	0.6	0.6	15.80	13.80	22.20	15.20
41	1	1	0.2	0.2	16.00	14.00	22.20	15.20
42	1	1	0.2	0.2	16.20	14.20	22.20	15.20
43	1	0	1	0	17.20	14.20	22.20	15.20
44	0	0	0.6	0.6	17.80	14.80	22.20	15.20
45	1	1	0.2	0.2	18.00	15.00	22.20	15.20
46	1	1	0.2	0.2	18.20	15.20	22.20	15.20
47	1	0	1	0	19.20	15.20	22.20	15.20
48	1	0	1	0	20.20	15.20	22.20	15.20
49	1	0	1	0	21.20	15.20	22.20	15.20
50	1	0	1	0	22.20	15.20	22.20	15.20
