ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	25.20	26.20
2	0	1	0	1	0.20	1.20	25.20	26.20
3	0	0	0.6	0.6	0.80	1.80	25.20	26.20
4	0	0	0.6	0.6	1.40	2.40	25.20	26.20
5	0	0	0.6	0.6	2.00	3.00	25.20	26.20
6	0	0	0.6	0.6	2.60	3.60	25.20	26.20
7	1	0	1	0	3.60	3.60	25.20	26.20
8	0	0	0.6	0.6	4.20	4.20	25.20	26.20
9	0	0	0.6	0.6	4.80	4.80	25.20	26.20
10	0	0	0.6	0.6	5.40	5.40	25.20	26.20
11	0	0	0.6	0.6	6.00	6.00	25.20	26.20
12	0	0	0.6	0.6	6.60	6.60	25.20	26.20
13	0	1	0	1	6.60	7.60	25.20	26.20
14	1	0	1	0	7.60	7.60	25.20	26.20
15	0	1	0	1	7.60	8.60	25.20	26.20
16	1	0	1	0	8.60	8.60	25.20	26.20
17	0	1	0	1	8.60	9.60	25.20	26.20
18	1	0	1	0	9.60	9.60	25.20	26.20
19	0	1	0	1	9.60	10.60	25.20	26.20
20	1	0	1	0	10.60	10.60	25.20	26.20
21	0	1	0	1	10.60	11.60	25.20	26.20
22	1	0	1	0	11.60	11.60	25.20	26.20
23	0	1	0	1	11.60	12.60	25.20	26.20
24	1	0	1	0	12.60	12.60	25.20	26.20
25	0	1	0	1	12.60	13.60	25.20	26.20
26	1	0	1	0	13.60	13.60	25.20	26.20
27	0	1	0	1	13.60	14.60	25.20	26.20
28	1	0	1	0	14.60	14.60	25.20	26.20
29	0	1	0	1	14.60	15.60	25.20	26.20
30	1	0	1	0	15.60	15.60	25.20	26.20
31	0	1	0	1	15.60	16.60	25.20	26.20
32	1	0	1	0	16.60	16.60	25.20	26.20
33	0	1	0	1	16.60	17.60	25.20	26.20
34	1	0	1	0	17.60	17.60	25.20	26.20
35	0	1	0	1	17.60	18.60	25.20	26.20
36	1	0	1	0	18.60	18.60	25.20	26.20
37	0	1	0	1	18.60	19.60	25.20	26.20
38	1	0	1	0	19.60	19.60	25.20	26.20
39	0	1	0	1	19.60	20.60	25.20	26.20
40	1	0	1	0	20.60	20.60	25.20	26.20
41	0	1	0	1	20.60	21.60	25.20	26.20
42	1	0	1	0	21.60	21.60	25.20	26.20
43	0	1	0	1	21.60	22.60	25.20	26.20
44	0	0	0.6	0.6	22.20	23.20	25.20	26.20
45	0	1	0	1	22.20	24.20	25.20	26.20
46	1	0	1	0	23.20	24.20	25.20	26.20
47	0	1	0	1	23.20	25.20	25.20	26.20
48	1	0	1	0	24.20	25.20	25.20	26.20
49	0	1	0	1	24.20	26.20	25.20	26.20
50	1	0	1	0	25.20	26.20	25.20	26.20
