ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	37.60	15.60
2	0	0	0.6	0.6	0.80	0.80	37.60	15.60
3	0	0	0.6	0.6	1.40	1.40	37.60	15.60
4	0	0	0.6	0.6	2.00	2.00	37.60	15.60
5	0	0	0.6	0.6	2.60	2.60	37.60	15.60
6	0	0	0.6	0.6	3.20	3.20	37.60	15.60
7	0	0	0.6	0.6	3.80	3.80	37.60	15.60
8	0	0	0.6	0.6	4.40	4.40	37.60	15.60
9	0	0	0.6	0.6	5.00	5.00	37.60	15.60
10	0	0	0.6	0.6	5.60	5.60	37.60	15.60
11	0	0	0.6	0.6	6.20	6.20	37.60	15.60
12	0	0	0.6	0.6	6.80	6.80	37.60	15.60
13	0	0	0.6	0.6	7.40	7.40	37.60	15.60
14	0	0	0.6	0.6	8.00	8.00	37.60	15.60
15	0	0	0.6	0.6	8.60	8.60	37.60	15.60
16	0	0	0.6	0.6	9.20	9.20	37.60	15.60
17	0	0	0.6	0.6	9.80	9.80	37.60	15.60
18	0	0	0.6	0.6	10.40	10.40	37.60	15.60
19	0	0	0.6	0.6	11.00	11.00	37.60	15.60
20	0	0	0.6	0.6	11.60	11.60	37.60	15.60
21	0	0	0.6	0.6	12.20	12.20	37.60	15.60
22	0	0	0.6	0.6	12.80	12.80	37.60	15.60
23	0	0	0.6	0.6	13.40	13.40	37.60	15.60
24	1	1	0.2	0.2	13.60	13.60	37.60	15.60
25	1	1	0.2	0.2	13.80	13.80	37.60	15.60
26	0	0	0.6	0.6	14.40	14.40	37.60	15.60
27	0	0	0.6	0.6	15.00	15.00	37.60	15.60
28	0	0	0.6	0.6	15.60	15.60	37.60	15.60
29	1	0	1	0	16.60	15.60	37.60	15.60
30	1	0	1	0	17.60	15.60	37.60	15.60
31	1	0	1	0	18.60	15.60	37.60	15.60
32	1	0	1	0	19.60	15.60	37.60	15.60
33	1	0	1	0	20.60	15.60	37.60	15.60
34	1	0	1	0	21.60	15.60	37.60	15.60
35	1	0	1	0	22.60	15.60	37.60	15.60
36	1	0	1	0	23.60	15.60	37.60	15.60
37	1	0	1	0	24.60	15.60	37.60	15.60
38	1	0	1	0	25.60	15.60	37.60	15.60
39	1	0	1	0	26.60	15.60	37.60	15.60
40	1	0	1	0	27.60	15.60	37.60	15.60
41	1	0	1	0	28.60	15.60	37.60	15.60
42	1	0	1	0	29.60	15.60	37.60	15.60
43	1	0	1	0	30.60	15.60	37.60	15.60
44	1	0	1	0	31.60	15.60	37.60	15.60
45	1	0	1	0	32.60	15.60	37.60	15.60
46	1	0	1	0	33.60	15.60	37.60	15.60
47	1	0	1	0	34.60	15.60	37.60	15.60
48	1	0	1	0	35.60	15.60	37.60	15.60
49	1	0	1	0	36.60	15.60	37.60	15.60
50	1	0	1	0	37.60	15.60	37.60	15.60
