ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	17.20	24.20
2	0	0	0.6	0.6	0.60	1.60	17.20	24.20
3	0	1	0	1	0.60	2.60	17.20	24.20
4	1	0	1	0	1.60	2.60	17.20	24.20
5	0	0	0.6	0.6	2.20	3.20	17.20	24.20
6	1	1	0.2	0.2	2.40	3.40	17.20	24.20
7	1	1	0.2	0.2	2.60	3.60	17.20	24.20
8	0	0	0.6	0.6	3.20	4.20	17.20	24.20
9	1	1	0.2	0.2	3.40	4.40	17.20	24.20
10	1	1	0.2	0.2	3.60	4.60	17.20	24.20
11	0	0	0.6	0.6	4.20	5.20	17.20	24.20
12	1	1	0.2	0.2	4.40	5.40	17.20	24.20
13	1	1	0.2	0.2	4.60	5.60	17.20	24.20
14	0	0	0.6	0.6	5.20	6.20	17.20	24.20
15	1	1	0.2	0.2	5.40	6.40	17.20	24.20
16	1	1	0.2	0.2	5.60	6.60	17.20	24.20
17	0	0	0.6	0.6	6.20	7.20	17.20	24.20
18	1	1	0.2	0.2	6.40	7.40	17.20	24.20
19	1	1	0.2	0.2	6.60	7.60	17.20	24.20
20	0	0	0.6	0.6	7.20	8.20	17.20	24.20
21	1	0	1	0	8.20	8.20	17.20	24.20
22	0	0	0.6	0.6	8.80	8.80	17.20	24.20
23	1	1	0.2	0.2	9.00	9.00	17.20	24.20
24	1	1	0.2	0.2	9.20	9.20	17.20	24.20
25	0	1	0	1	9.20	10.20	17.20	24.20
26	0	0	0.6	0.6	9.80	10.80	17.20	24.20
27	1	1	0.2	0.2	10.00	11.00	17.20	24.20
28	0	1	0	1	10.00	12.00	17.20	24.20
29	1	0	1	0	11.00	12.00	17.20	24.20
30	0	0	0.6	0.6	11.60	12.60	17.20	24.20
31	0	1	0	1	11.60	13.60	17.20	24.20
32	1	0	1	0	12.60	13.60	17.20	24.20
33	0	0	0.6	0.6	13.20	14.20	17.20	24.20
34	1	1	0.2	0.2	13.40	14.40	17.20	24.20
35	1	1	0.2	0.2	13.60	14.60	17.20	24.20
36	0	0	0.6	0.6	14.20	15.20	17.20	24.20
37	1	0	1	0	15.20	15.20	17.20	24.20
38	0	1	0	1	15.20	16.20	17.20	24.20
39	0	0	0.6	0.6	15.80	16.80	17.20	24.20
40	1	1	0.2	0.2	16.00	17.00	17.20	24.20
41	1	1	0.2	0.2	16.20	17.20	17.20	24.20
42	0	1	0	1	16.20	18.20	17.20	24.20
43	0	0	0.6	0.6	16.80	18.80	17.20	24.20
44	1	1	0.2	0.2	17.00	19.00	17.20	24.20
45	1	1	0.2	0.2	17.20	19.20	17.20	24.20
46	0	1	0	1	17.20	20.20	17.20	24.20
47	0	1	0	1	17.20	21.20	17.20	24.20
48	0	1	0	1	17.20	22.20	17.20	24.20
49	0	1	0	1	17.20	23.20	17.20	24.20
50	0	1	0	1	17.20	24.20	17.20	24.20
