ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	26.60	26.60
2	0	0	0.6	0.6	1.20	1.20	26.60	26.60
3	0	0	0.6	0.6	1.80	1.80	26.60	26.60
4	0	0	0.6	0.6	2.40	2.40	26.60	26.60
5	0	0	0.6	0.6	3.00	3.00	26.60	26.60
6	0	1	0	1	3.00	4.00	26.60	26.60
7	0	0	0.6	0.6	3.60	4.60	26.60	26.60
8	0	0	0.6	0.6	4.20	5.20	26.60	26.60
9	0	0	0.6	0.6	4.80	5.80	26.60	26.60
10	0	0	0.6	0.6	5.40	6.40	26.60	26.60
11	1	0	1	0	6.40	6.40	26.60	26.60
12	0	0	0.6	0.6	7.00	7.00	26.60	26.60
13	0	0	0.6	0.6	7.60	7.60	26.60	26.60
14	0	0	0.6	0.6	8.20	8.20	26.60	26.60
15	0	0	0.6	0.6	8.80	8.80	26.60	26.60
16	0	0	0.6	0.6	9.40	9.40	26.60	26.60
17	0	0	0.6	0.6	10.00	10.00	26.60	26.60
18	0	0	0.6	0.6	10.60	10.60	26.60	26.60
19	0	1	0	1	10.60	11.60	26.60	26.60
20	1	0	1	0	11.60	11.60	26.60	26.60
21	0	1	0	1	11.60	12.60	26.60	26.60
22	1	0	1	0	12.60	12.60	26.60	26.60
23	0	1	0	1	12.60	13.60	26.60	26.60
24	1	0	1	0	13.60	13.60	26.60	26.60
25	0	1	0	1	13.60	14.60	26.60	26.60
26	1	0	1	0	14.60	14.60	26.60	26.60
27	0	1	0	1	14.60	15.60	26.60	26.60
28	1	0	1	0	15.60	15.60	26.60	26.60
29	0	1	0	1	15.60	16.60	26.60	26.60
30	1	0	1	0	16.60	16.60	26.60	26.60
31	0	1	0	1	16.60	17.60	26.60	26.60
32	1	0	1	0	17.60	17.60	26.60	26.60
33	0	1	0	1	17.60	18.60	26.60	26.60
34	1	0	1	0	18.60	18.60	26.60	26.60
35	0	1	0	1	18.60	19.60	26.60	26.60
36	1	0	1	0	19.60	19.60	26.60	26.60
37	0	1	0	1	19.60	20.60	26.60	26.60
38	1	0	1	0	20.60	20.60	26.60	26.60
39	0	1	0	1	20.60	21.60	26.60	26.60
40	1	0	1	0	21.60	21.60	26.60	26.60
41	0	1	0	1	21.60	22.60	26.60	26.60
42	1	0	1	0	22.60	22.60	26.60	26.60
43	0	1	0	1	22.60	23.60	26.60	26.60
44	1	0	1	0	23.60	23.60	26.60	26.60
45	0	1	0	1	23.60	24.60	26.60	26.60
46	1	0	1	0	24.60	24.60	26.60	26.60
47	0	1	0	1	24.60	25.60	26.60	26.60
48	1	0	1	0	25.60	25.60	26.60	26.60
49	0	1	0	1	25.60	26.60	26.60	26.60
50	1	0	1	0	26.60	26.60	26.60	26.60
