ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	15.60	29.60
2	0	0	0.6	0.6	1.60	0.60	15.60	29.60
3	0	1	0	1	1.60	1.60	15.60	29.60
4	0	0	0.6	0.6	2.20	2.20	15.60	29.60
5	1	1	0.2	0.2	2.40	2.40	15.60	29.60
6	1	1	0.2	0.2	2.60	2.60	15.60	29.60
7	1	0	1	0	3.60	2.60	15.60	29.60
8	0	0	0.6	0.6	4.20	3.20	15.60	29.60
9	1	1	0.2	0.2	4.40	3.40	15.60	29.60
10	1	1	0.2	0.2	4.60	3.60	15.60	29.60
11	0	0	0.6	0.6	5.20	4.20	15.60	29.60
12	1	1	0.2	0.2	5.40	4.40	15.60	29.60
13	1	1	0.2	0.2	5.60	4.60	15.60	29.60
14	0	0	0.6	0.6	6.20	5.20	15.60	29.60
15	1	1	0.2	0.2	6.40	5.40	15.60	29.60
16	1	1	0.2	0.2	6.60	5.60	15.60	29.60
17	0	0	0.6	0.6	7.20	6.20	15.60	29.60
18	1	0	1	0	8.20	6.20	15.60	29.60
19	0	1	0	1	8.20	7.20	15.60	29.60
20	0	0	0.6	0.6	8.80	7.80	15.60	29.60
21	1	0	1	0	9.80	7.80	15.60	29.60
22	0	0	0.6	0.6	10.40	8.40	15.60	29.60
23	0	1	0	1	10.40	9.40	15.60	29.60
24	0	0	0.6	0.6	11.00	10.00	15.60	29.60
25	1	0	1	0	12.00	10.00	15.60	29.60
26	1	0	1	0	13.00	10.00	15.60	29.60
27	0	1	0	1	13.00	11.00	15.60	29.60
28	0	1	0	1	13.00	12.00	15.60	29.60
29	0	1	0	1	13.00	13.00	15.60	29.60
30	0	0	0.6	0.6	13.60	13.60	15.60	29.60
31	1	1	0.2	0.2	13.80	13.80	15.60	29.60
32	1	1	0.2	0.2	14.00	14.00	15.60	29.60
33	0	0	0.6	0.6	14.60	14.60	15.60	29.60
34	1	1	0.2	0.2	14.80	14.80	15.60	29.60
35	1	1	0.2	0.2	15.00	15.00	15.60	29.60
36	0	1	0	1	15.00	16.00	15.60	29.60
37	0	1	0	1	15.00	17.00	15.60	29.60
38	0	1	0	1	15.00	18.00	15.60	29.60
39	0	1	0	1	15.00	19.00	15.60	29.60
40	0	1	0	1	15.00	20.00	15.60	29.60
41	0	1	0	1	15.00	21.00	15.60	29.60
42	0	1	0	1	15.00	22.00	15.60	29.60
43	0	1	0	1	15.00	23.00	15.60	29.60
44	0	1	0	1	15.00	24.00	15.60	29.60
45	0	1	0	1	15.00	25.00	15.60	29.60
46	0	1	0	1	15.00	26.00	15.60	29.60
47	0	1	0	1	15.00	27.00	15.60	29.60
48	0	1	0	1	15.00	28.00	15.60	29.60
49	0	0	0.6	0.6	15.60	28.60	15.60	29.60
50	0	1	0	1	15.60	29.60	15.60	29.60
