ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	26.40	27.40
2	0	0	0.6	0.6	1.60	0.60	26.40	27.40
3	0	0	0.6	0.6	2.20	1.20	26.40	27.40
4	0	1	0	1	2.20	2.20	26.40	27.40
5	0	0	0.6	0.6	2.80	2.80	26.40	27.40
6	0	0	0.6	0.6	3.40	3.40	26.40	27.40
7	0	0	0.6	0.6	4.00	4.00	26.40	27.40
8	0	0	0.6	0.6	4.60	4.60	26.40	27.40
9	0	0	0.6	0.6	5.20	5.20	26.40	27.40
10	0	0	0.6	0.6	5.80	5.80	26.40	27.40
11	0	0	0.6	0.6	6.40	6.40	26.40	27.40
12	0	0	0.6	0.6	7.00	7.00	26.40	27.40
13	0	0	0.6	0.6	7.60	7.60	26.40	27.40
14	0	0	0.6	0.6	8.20	8.20	26.40	27.40
15	0	0	0.6	0.6	8.80	8.80	26.40	27.40
16	0	0	0.6	0.6	9.40	9.40	26.40	27.40
17	0	0	0.6	0.6	10.00	10.00	26.40	27.40
18	0	0	0.6	0.6	10.60	10.60	26.40	27.40
19	0	0	0.6	0.6	11.20	11.20	26.40	27.40
20	0	0	0.6	0.6	11.80	11.80	26.40	27.40
21	0	0	0.6	0.6	12.40	12.40	26.40	27.40
22	0	0	0.6	0.6	13.00	13.00	26.40	27.40
23	0	0	0.6	0.6	13.60	13.60	26.40	27.40
24	0	0	0.6	0.6	14.20	14.20	26.40	27.40
25	0	1	0	1	14.20	15.20	26.40	27.40
26	1	1	0.2	0.2	14.40	15.40	26.40	27.40
27	1	0	1	0	15.40	15.40	26.40	27.40
28	0	1	0	1	15.40	16.40	26.40	27.40
29	1	0	1	0	16.40	16.40	26.40	27.40
30	0	1	0	1	16.40	17.40	26.40	27.40
31	1	0	1	0	17.40	17.40	26.40	27.40
32	0	1	0	1	17.40	18.40	26.40	27.40
33	1	0	1	0	18.40	18.40	26.40	27.40
34	0	1	0	1	18.40	19.40	26.40	27.40
35	1	0	1	0	19.40	19.40	26.40	27.40
36	0	1	0	1	19.40	20.40	26.40	27.40
37	1	0	1	0	20.40	20.40	26.40	27.40
38	0	1	0	1	20.40	21.40	26.40	27.40
39	1	0	1	0	21.40	21.40	26.40	27.40
40	0	1	0	1	21.40	22.40	26.40	27.40
41	1	0	1	0	22.40	22.40	26.40	27.40
42	0	1	0	1	22.40	23.40	26.40	27.40
43	1	0	1	0	23.40	23.40	26.40	27.40
44	0	1	0	1	23.40	24.40	26.40	27.40
45	1	0	1	0	24.40	24.40	26.40	27.40
46	0	1	0	1	24.40	25.40	26.40	27.40
47	1	0	1	0	25.40	25.40	26.40	27.40
48	0	1	0	1	25.40	26.40	26.40	27.40
49	1	0	1	0	26.40	26.40	26.40	27.40
50	0	1	0	1	26.40	27.40	26.40	27.40
