ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	19.00	25.00
2	1	1	0.2	0.2	0.20	1.20	19.00	25.00
3	0	1	0	1	0.20	2.20	19.00	25.00
4	1	1	0.2	0.2	0.40	2.40	19.00	25.00
5	0	1	0	1	0.40	3.40	19.00	25.00
6	1	0	1	0	1.40	3.40	19.00	25.00
7	1	0	1	0	2.40	3.40	19.00	25.00
8	1	1	0.2	0.2	2.60	3.60	19.00	25.00
9	0	1	0	1	2.60	4.60	19.00	25.00
10	0	1	0	1	2.60	5.60	19.00	25.00
11	1	1	0.2	0.2	2.80	5.80	19.00	25.00
12	1	1	0.2	0.2	3.00	6.00	19.00	25.00
13	0	1	0	1	3.00	7.00	19.00	25.00
14	1	1	0.2	0.2	3.20	7.20	19.00	25.00
15	1	1	0.2	0.2	3.40	7.40	19.00	25.00
16	1	1	0.2	0.2	3.60	7.60	19.00	25.00
17	0	1	0	1	3.60	8.60	19.00	25.00
18	1	1	0.2	0.2	3.80	8.80	19.00	25.00
19	0	1	0	1	3.80	9.80	19.00	25.00
20	1	1	0.2	0.2	4.00	10.00	19.00	25.00
21	1	0	1	0	5.00	10.00	19.00	25.00
22	0	1	0	1	5.00	11.00	19.00	25.00
23	1	0	1	0	6.00	11.00	19.00	25.00
24	0	1	0	1	6.00	12.00	19.00	25.00
25	1	0	1	0	7.00	12.00	19.00	25.00
26	0	1	0	1	7.00	13.00	19.00	25.00
27	1	0	1	0	8.00	13.00	19.00	25.00
28	0	1	0	1	8.00	14.00	19.00	25.00
29	1	0	1	0	9.00	14.00	19.00	25.00
30	0	1	0	1	9.00	15.00	19.00	25.00
31	1	0	1	0	10.00	15.00	19.00	25.00
32	0	1	0	1	10.00	16.00	19.00	25.00
33	1	0	1	0	11.00	16.00	19.00	25.00
34	0	1	0	1	11.00	17.00	19.00	25.00
35	1	0	1	0	12.00	17.00	19.00	25.00
36	0	1	0	1	12.00	18.00	19.00	25.00
37	1	0	1	0	13.00	18.00	19.00	25.00
38	0	1	0	1	13.00	19.00	19.00	25.00
39	1	0	1	0	14.00	19.00	19.00	25.00
40	0	1	0	1	14.00	20.00	19.00	25.00
41	1	0	1	0	15.00	20.00	19.00	25.00
42	0	1	0	1	15.00	21.00	19.00	25.00
43	1	0	1	0	16.00	21.00	19.00	25.00
44	0	1	0	1	16.00	22.00	19.00	25.00
45	1	0	1	0	17.00	22.00	19.00	25.00
46	0	1	0	1	17.00	23.00	19.00	25.00
47	1	0	1	0	18.00	23.00	19.00	25.00
48	0	1	0	1	18.00	24.00	19.00	25.00
49	1	0	1	0	19.00	24.00	19.00	25.00
50	0	1	0	1	19.00	25.00	19.00	25.00
