ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	18.20	36.20
2	0	0	0.6	0.6	1.60	0.60	18.20	36.20
3	0	0	0.6	0.6	2.20	1.20	18.20	36.20
4	0	0	0.6	0.6	2.80	1.80	18.20	36.20
5	0	0	0.6	0.6	3.40	2.40	18.20	36.20
6	0	0	0.6	0.6	4.00	3.00	18.20	36.20
7	0	0	0.6	0.6	4.60	3.60	18.20	36.20
8	0	0	0.6	0.6	5.20	4.20	18.20	36.20
9	0	0	0.6	0.6	5.80	4.80	18.20	36.20
10	0	0	0.6	0.6	6.40	5.40	18.20	36.20
11	0	0	0.6	0.6	7.00	6.00	18.20	36.20
12	0	1	0	1	7.00	7.00	18.20	36.20
13	0	0	0.6	0.6	7.60	7.60	18.20	36.20
14	0	0	0.6	0.6	8.20	8.20	18.20	36.20
15	0	0	0.6	0.6	8.80	8.80	18.20	36.20
16	0	0	0.6	0.6	9.40	9.40	18.20	36.20
17	0	0	0.6	0.6	10.00	10.00	18.20	36.20
18	0	0	0.6	0.6	10.60	10.60	18.20	36.20
19	0	0	0.6	0.6	11.20	11.20	18.20	36.20
20	0	0	0.6	0.6	11.80	11.80	18.20	36.20
21	0	0	0.6	0.6	12.40	12.40	18.20	36.20
22	0	0	0.6	0.6	13.00	13.00	18.20	36.20
23	0	0	0.6	0.6	13.60	13.60	18.20	36.20
24	0	0	0.6	0.6	14.20	14.20	18.20	36.20
25	0	0	0.6	0.6	14.80	14.80	18.20	36.20
26	0	0	0.6	0.6	15.40	15.40	18.20	36.20
27	0	1	0	1	15.40	16.40	18.20	36.20
28	0	1	0	1	15.40	17.40	18.20	36.20
29	0	1	0	1	15.40	18.40	18.20	36.20
30	0	1	0	1	15.40	19.40	18.20	36.20
31	0	1	0	1	15.40	20.40	18.20	36.20
32	0	1	0	1	15.40	21.40	18.20	36.20
33	0	1	0	1	15.40	22.40	18.20	36.20
34	0	1	0	1	15.40	23.40	18.20	36.20
35	0	1	0	1	15.40	24.40	18.20	36.20
36	0	1	0	1	15.40	25.40	18.20	36.20
37	0	1	0	1	15.40	26.40	18.20	36.20
38	0	1	0	1	15.40	27.40	18.20	36.20
39	0	1	0	1	15.40	28.40	18.20	36.20
40	1	1	0.2	0.2	15.60	28.60	18.20	36.20
41	1	0	1	0	16.60	28.60	18.20	36.20
42	0	1	0	1	16.60	29.60	18.20	36.20
43	0	0	0.6	0.6	17.20	30.20	18.20	36.20
44	1	0	1	0	18.20	30.20	18.20	36.20
45	0	1	0	1	18.20	31.20	18.20	36.20
46	0	1	0	1	18.20	32.20	18.20	36.20
47	0	1	0	1	18.20	33.20	18.20	36.20
48	0	1	0	1	18.20	34.20	18.20	36.20
49	0	1	0	1	18.20	35.20	18.20	36.20
50	0	1	0	1	18.20	36.20	18.20	36.20
