ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	21.20	22.20
2	0	1	0	1	0.60	1.60	21.20	22.20
3	0	1	0	1	0.60	2.60	21.20	22.20
4	1	1	0.2	0.2	0.80	2.80	21.20	22.20
5	1	0	1	0	1.80	2.80	21.20	22.20
6	1	0	1	0	2.80	2.80	21.20	22.20
7	1	1	0.2	0.2	3.00	3.00	21.20	22.20
8	1	0	1	0	4.00	3.00	21.20	22.20
9	1	1	0.2	0.2	4.20	3.20	21.20	22.20
10	1	0	1	0	5.20	3.20	21.20	22.20
11	1	1	0.2	0.2	5.40	3.40	21.20	22.20
12	1	1	0.2	0.2	5.60	3.60	21.20	22.20
13	1	0	1	0	6.60	3.60	21.20	22.20
14	1	1	0.2	0.2	6.80	3.80	21.20	22.20
15	0	1	0	1	6.80	4.80	21.20	22.20
16	0	1	0	1	6.80	5.80	21.20	22.20
17	1	1	0.2	0.2	7.00	6.00	21.20	22.20
18	1	1	0.2	0.2	7.20	6.20	21.20	22.20
19	1	1	0.2	0.2	7.40	6.40	21.20	22.20
20	1	1	0.2	0.2	7.60	6.60	21.20	22.20
21	0	1	0	1	7.60	7.60	21.20	22.20
22	1	1	0.2	0.2	7.80	7.80	21.20	22.20
23	0	1	0	1	7.80	8.80	21.20	22.20
24	1	1	0.2	0.2	8.00	9.00	21.20	22.20
25	0	0	0.6	0.6	8.60	9.60	21.20	22.20
26	0	0	0.6	0.6	9.20	10.20	21.20	22.20
27	0	1	0	1	9.20	11.20	21.20	22.20
28	1	0	1	0	10.20	11.20	21.20	22.20
29	0	1	0	1	10.20	12.20	21.20	22.20
30	1	0	1	0	11.20	12.20	21.20	22.20
31	0	1	0	1	11.20	13.20	21.20	22.20
32	1	0	1	0	12.20	13.20	21.20	22.20
33	0	1	0	1	12.20	14.20	21.20	22.20
34	1	0	1	0	13.20	14.20	21.20	22.20
35	0	1	0	1	13.20	15.20	21.20	22.20
36	1	0	1	0	14.20	15.20	21.20	22.20
37	0	1	0	1	14.20	16.20	21.20	22.20
38	1	0	1	0	15.20	16.20	21.20	22.20
39	0	1	0	1	15.20	17.20	21.20	22.20
40	1	0	1	0	16.20	17.20	21.20	22.20
41	0	1	0	1	16.20	18.20	21.20	22.20
42	1	0	1	0	17.20	18.20	21.20	22.20
43	0	1	0	1	17.20	19.20	21.20	22.20
44	1	0	1	0	18.20	19.20	21.20	22.20
45	0	1	0	1	18.20	20.20	21.20	22.20
46	1	0	1	0	19.20	20.20	21.20	22.20
47	0	1	0	1	19.20	21.20	21.20	22.20
48	1	0	1	0	20.20	21.20	21.20	22.20
49	0	1	0	1	20.20	22.20	21.20	22.20
50	1	0	1	0	21.20	22.20	21.20	22.20
