ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	34.00	22.00
2	0	0	0.6	0.6	0.80	0.80	34.00	22.00
3	0	1	0	1	0.80	1.80	34.00	22.00
4	0	0	0.6	0.6	1.40	2.40	34.00	22.00
5	0	0	0.6	0.6	2.00	3.00	34.00	22.00
6	0	0	0.6	0.6	2.60	3.60	34.00	22.00
7	1	0	1	0	3.60	3.60	34.00	22.00
8	0	0	0.6	0.6	4.20	4.20	34.00	22.00
9	0	0	0.6	0.6	4.80	4.80	34.00	22.00
10	0	0	0.6	0.6	5.40	5.40	34.00	22.00
11	0	0	0.6	0.6	6.00	6.00	34.00	22.00
12	0	0	0.6	0.6	6.60	6.60	34.00	22.00
13	0	0	0.6	0.6	7.20	7.20	34.00	22.00
14	0	0	0.6	0.6	7.80	7.80	34.00	22.00
15	0	0	0.6	0.6	8.40	8.40	34.00	22.00
16	0	0	0.6	0.6	9.00	9.00	34.00	22.00
17	0	0	0.6	0.6	9.60	9.60	34.00	22.00
18	0	0	0.6	0.6	10.20	10.20	34.00	22.00
19	0	0	0.6	0.6	10.80	10.80	34.00	22.00
20	0	0	0.6	0.6	11.40	11.40	34.00	22.00
21	0	0	0.6	0.6	12.00	12.00	34.00	22.00
22	0	0	0.6	0.6	12.60	12.60	34.00	22.00
23	0	0	0.6	0.6	13.20	13.20	34.00	22.00
24	0	0	0.6	0.6	13.80	13.80	34.00	22.00
25	0	0	0.6	0.6	14.40	14.40	34.00	22.00
26	0	0	0.6	0.6	15.00	15.00	34.00	22.00
27	0	0	0.6	0.6	15.60	15.60	34.00	22.00
28	0	0	0.6	0.6	16.20	16.20	34.00	22.00
29	0	0	0.6	0.6	16.80	16.80	34.00	22.00
30	0	0	0.6	0.6	17.40	17.40	34.00	22.00
31	0	0	0.6	0.6	18.00	18.00	34.00	22.00
32	0	1	0	1	18.00	19.00	34.00	22.00
33	0	0	0.6	0.6	18.60	19.60	34.00	22.00
34	0	0	0.6	0.6	19.20	20.20	34.00	22.00
35	0	0	0.6	0.6	19.80	20.80	34.00	22.00
36	0	0	0.6	0.6	20.40	21.40	34.00	22.00
37	0	0	0.6	0.6	21.00	22.00	34.00	22.00
38	1	0	1	0	22.00	22.00	34.00	22.00
39	1	0	1	0	23.00	22.00	34.00	22.00
40	1	0	1	0	24.00	22.00	34.00	22.00
41	1	0	1	0	25.00	22.00	34.00	22.00
42	1	0	1	0	26.00	22.00	34.00	22.00
43	1	0	1	0	27.00	22.00	34.00	22.00
44	1	0	1	0	28.00	22.00	34.00	22.00
45	1	0	1	0	29.00	22.00	34.00	22.00
46	1	0	1	0	30.00	22.00	34.00	22.00
47	1	0	1	0	31.00	22.00	34.00	22.00
48	1	0	1	0	32.00	22.00	34.00	22.00
49	1	0	1	0	33.00	22.00	34.00	22.00
50	1	0	1	0	34.00	22.00	34.00	22.00
