ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	24.60	21.60
2	1	0	1	0	1.20	0.20	24.60	21.60
3	0	1	0	1	1.20	1.20	24.60	21.60
4	1	0	1	0	2.20	1.20	24.60	21.60
5	0	1	0	1	2.20	2.20	24.60	21.60
6	0	0	0.6	0.6	2.80	2.80	24.60	21.60
7	1	0	1	0	3.80	2.80	24.60	21.60
8	0	1	0	1	3.80	3.80	24.60	21.60
9	1	0	1	0	4.80	3.80	24.60	21.60
10	0	1	0	1	4.80	4.80	24.60	21.60
11	0	0	0.6	0.6	5.40	5.40	24.60	21.60
12	1	0	1	0	6.40	5.40	24.60	21.60
13	0	1	0	1	6.40	6.40	24.60	21.60
14	0	0	0.6	0.6	7.00	7.00	24.60	21.60
15	1	0	1	0	8.00	7.00	24.60	21.60
16	1	1	0.2	0.2	8.20	7.20	24.60	21.60
17	1	0	1	0	9.20	7.20	24.60	21.60
18	1	1	0.2	0.2	9.40	7.40	24.60	21.60
19	1	0	1	0	10.40	7.40	24.60	21.60
20	1	1	0.2	0.2	10.60	7.60	24.60	21.60
21	1	0	1	0	11.60	7.60	24.60	21.60
22	1	1	0.2	0.2	11.80	7.80	24.60	21.60
23	1	1	0.2	0.2	12.00	8.00	24.60	21.60
24	0	1	0	1	12.00	9.00	24.60	21.60
25	1	0	1	0	13.00	9.00	24.60	21.60
26	0	1	0	1	13.00	10.00	24.60	21.60
27	0	0	0.6	0.6	13.60	10.60	24.60	21.60
28	0	1	0	1	13.60	11.60	24.60	21.60
29	1	0	1	0	14.60	11.60	24.60	21.60
30	0	1	0	1	14.60	12.60	24.60	21.60
31	1	0	1	0	15.60	12.60	24.60	21.60
32	0	0	0.6	0.6	16.20	13.20	24.60	21.60
33	0	1	0	1	16.20	14.20	24.60	21.60
34	1	0	1	0	17.20	14.20	24.60	21.60
35	0	1	0	1	17.20	15.20	24.60	21.60
36	1	0	1	0	18.20	15.20	24.60	21.60
37	0	0	0.6	0.6	18.80	15.80	24.60	21.60
38	0	1	0	1	18.80	16.80	24.60	21.60
39	1	0	1	0	19.80	16.80	24.60	21.60
40	1	1	0.2	0.2	20.00	17.00	24.60	21.60
41	1	0	1	0	21.00	17.00	24.60	21.60
42	0	0	0.6	0.6	21.60	17.60	24.60	21.60
43	0	1	0	1	21.60	18.60	24.60	21.60
44	0	0	0.6	0.6	22.20	19.20	24.60	21.60
45	1	0	1	0	23.20	19.20	24.60	21.60
46	1	1	0.2	0.2	23.40	19.40	24.60	21.60
47	1	1	0.2	0.2	23.60	19.60	24.60	21.60
48	0	1	0	1	23.60	20.60	24.60	21.60
49	1	0	1	0	24.60	20.60	24.60	21.60
50	0	1	0	1	24.60	21.60	24.60	21.60
