ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	16.60	38.60
2	0	0	0.6	0.6	1.60	0.60	16.60	38.60
3	0	0	0.6	0.6	2.20	1.20	16.60	38.60
4	0	0	0.6	0.6	2.80	1.80	16.60	38.60
5	0	0	0.6	0.6	3.40	2.40	16.60	38.60
6	0	0	0.6	0.6	4.00	3.00	16.60	38.60
7	0	0	0.6	0.6	4.60	3.60	16.60	38.60
8	0	0	0.6	0.6	5.20	4.20	16.60	38.60
9	0	0	0.6	0.6	5.80	4.80	16.60	38.60
10	0	0	0.6	0.6	6.40	5.40	16.60	38.60
11	0	0	0.6	0.6	7.00	6.00	16.60	38.60
12	0	0	0.6	0.6	7.60	6.60	16.60	38.60
13	0	0	0.6	0.6	8.20	7.20	16.60	38.60
14	0	0	0.6	0.6	8.80	7.80	16.60	38.60
15	0	0	0.6	0.6	9.40	8.40	16.60	38.60
16	0	0	0.6	0.6	10.00	9.00	16.60	38.60
17	0	1	0	1	10.00	10.00	16.60	38.60
18	0	0	0.6	0.6	10.60	10.60	16.60	38.60
19	0	0	0.6	0.6	11.20	11.20	16.60	38.60
20	0	0	0.6	0.6	11.80	11.80	16.60	38.60
21	0	0	0.6	0.6	12.40	12.40	16.60	38.60
22	0	0	0.6	0.6	13.00	13.00	16.60	38.60
23	0	0	0.6	0.6	13.60	13.60	16.60	38.60
24	0	0	0.6	0.6	14.20	14.20	16.60	38.60
25	0	0	0.6	0.6	14.80	14.80	16.60	38.60
26	0	0	0.6	0.6	15.40	15.40	16.60	38.60
27	0	0	0.6	0.6	16.00	16.00	16.60	38.60
28	0	0	0.6	0.6	16.60	16.60	16.60	38.60
29	0	1	0	1	16.60	17.60	16.60	38.60
30	0	1	0	1	16.60	18.60	16.60	38.60
31	0	1	0	1	16.60	19.60	16.60	38.60
32	0	1	0	1	16.60	20.60	16.60	38.60
33	0	1	0	1	16.60	21.60	16.60	38.60
34	0	1	0	1	16.60	22.60	16.60	38.60
35	0	1	0	1	16.60	23.60	16.60	38.60
36	0	1	0	1	16.60	24.60	16.60	38.60
37	0	1	0	1	16.60	25.60	16.60	38.60
38	0	1	0	1	16.60	26.60	16.60	38.60
39	0	1	0	1	16.60	27.60	16.60	38.60
40	0	1	0	1	16.60	28.60	16.60	38.60
41	0	1	0	1	16.60	29.60	16.60	38.60
42	0	1	0	1	16.60	30.60	16.60	38.60
43	0	1	0	1	16.60	31.60	16.60	38.60
44	0	1	0	1	16.60	32.60	16.60	38.60
45	0	1	0	1	16.60	33.60	16.60	38.60
46	0	1	0	1	16.60	34.60	16.60	38.60
47	0	1	0	1	16.60	35.60	16.60	38.60
48	0	1	0	1	16.60	36.60	16.60	38.60
49	0	1	0	1	16.60	37.60	16.60	38.60
50	0	1	0	1	16.60	38.60	16.60	38.60
