ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	24.40	30.40
2	1	0	1	0	1.60	0.60	24.40	30.40
3	0	1	0	1	1.60	1.60	24.40	30.40
4	1	0	1	0	2.60	1.60	24.40	30.40
5	0	1	0	1	2.60	2.60	24.40	30.40
6	0	0	0.6	0.6	3.20	3.20	24.40	30.40
7	1	0	1	0	4.20	3.20	24.40	30.40
8	0	1	0	1	4.20	4.20	24.40	30.40
9	1	0	1	0	5.20	4.20	24.40	30.40
10	0	1	0	1	5.20	5.20	24.40	30.40
11	0	0	0.6	0.6	5.80	5.80	24.40	30.40
12	1	0	1	0	6.80	5.80	24.40	30.40
13	0	1	0	1	6.80	6.80	24.40	30.40
14	1	1	0.2	0.2	7.00	7.00	24.40	30.40
15	0	1	0	1	7.00	8.00	24.40	30.40
16	0	0	0.6	0.6	7.60	8.60	24.40	30.40
17	0	0	0.6	0.6	8.20	9.20	24.40	30.40
18	0	0	0.6	0.6	8.80	9.80	24.40	30.40
19	0	0	0.6	0.6	9.40	10.40	24.40	30.40
20	0	0	0.6	0.6	10.00	11.00	24.40	30.40
21	0	0	0.6	0.6	10.60	11.60	24.40	30.40
22	0	0	0.6	0.6	11.20	12.20	24.40	30.40
23	0	0	0.6	0.6	11.80	12.80	24.40	30.40
24	0	0	0.6	0.6	12.40	13.40	24.40	30.40
25	0	0	0.6	0.6	13.00	14.00	24.40	30.40
26	0	0	0.6	0.6	13.60	14.60	24.40	30.40
27	0	0	0.6	0.6	14.20	15.20	24.40	30.40
28	0	0	0.6	0.6	14.80	15.80	24.40	30.40
29	0	0	0.6	0.6	15.40	16.40	24.40	30.40
30	0	0	0.6	0.6	16.00	17.00	24.40	30.40
31	0	0	0.6	0.6	16.60	17.60	24.40	30.40
32	0	0	0.6	0.6	17.20	18.20	24.40	30.40
33	0	0	0.6	0.6	17.80	18.80	24.40	30.40
34	0	0	0.6	0.6	18.40	19.40	24.40	30.40
35	0	0	0.6	0.6	19.00	20.00	24.40	30.40
36	0	0	0.6	0.6	19.60	20.60	24.40	30.40
37	0	0	0.6	0.6	20.20	21.20	24.40	30.40
38	0	0	0.6	0.6	20.80	21.80	24.40	30.40
39	0	0	0.6	0.6	21.40	22.40	24.40	30.40
40	0	0	0.6	0.6	22.00	23.00	24.40	30.40
41	0	0	0.6	0.6	22.60	23.60	24.40	30.40
42	0	1	0	1	22.60	24.60	24.40	30.40
43	0	0	0.6	0.6	23.20	25.20	24.40	30.40
44	0	1	0	1	23.20	26.20	24.40	30.40
45	1	0	1	0	24.20	26.20	24.40	30.40
46	0	1	0	1	24.20	27.20	24.40	30.40
47	1	1	0.2	0.2	24.40	27.40	24.40	30.40
48	0	1	0	1	24.40	28.40	24.40	30.40
49	0	1	0	1	24.40	29.40	24.40	30.40
50	0	1	0	1	24.40	30.40	24.40	30.40
