ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	24.80	26.80
2	0	1	0	1	0.00	2.00	24.80	26.80
3	0	0	0.6	0.6	0.60	2.60	24.80	26.80
4	0	0	0.6	0.6	1.20	3.20	24.80	26.80
5	1	0	1	0	2.20	3.20	24.80	26.80
6	0	0	0.6	0.6	2.80	3.80	24.80	26.80
7	0	0	0.6	0.6	3.40	4.40	24.80	26.80
8	0	0	0.6	0.6	4.00	5.00	24.80	26.80
9	0	0	0.6	0.6	4.60	5.60	24.80	26.80
10	0	0	0.6	0.6	5.20	6.20	24.80	26.80
11	0	0	0.6	0.6	5.80	6.80	24.80	26.80
12	0	0	0.6	0.6	6.40	7.40	24.80	26.80
13	0	0	0.6	0.6	7.00	8.00	24.80	26.80
14	0	0	0.6	0.6	7.60	8.60	24.80	26.80
15	0	1	0	1	7.60	9.60	24.80	26.80
16	1	0	1	0	8.60	9.60	24.80	26.80
17	0	1	0	1	8.60	10.60	24.80	26.80
18	1	0	1	0	9.60	10.60	24.80	26.80
19	0	1	0	1	9.60	11.60	24.80	26.80
20	1	0	1	0	10.60	11.60	24.80	26.80
21	0	1	0	1	10.60	12.60	24.80	26.80
22	1	0	1	0	11.60	12.60	24.80	26.80
23	0	1	0	1	11.60	13.60	24.80	26.80
24	1	0	1	0	12.60	13.60	24.80	26.80
25	0	1	0	1	12.60	14.60	24.80	26.80
26	1	0	1	0	13.60	14.60	24.80	26.80
27	0	1	0	1	13.60	15.60	24.80	26.80
28	1	0	1	0	14.60	15.60	24.80	26.80
29	0	1	0	1	14.60	16.60	24.80	26.80
30	1	0	1	0	15.60	16.60	24.80	26.80
31	0	1	0	1	15.60	17.60	24.80	26.80
32	1	0	1	0	16.60	17.60	24.80	26.80
33	0	1	0	1	16.60	18.60	24.80	26.80
34	1	0	1	0	17.60	18.60	24.80	26.80
35	0	1	0	1	17.60	19.60	24.80	26.80
36	1	0	1	0	18.60	19.60	24.80	26.80
37	0	1	0	1	18.60	20.60	24.80	26.80
38	1	0	1	0	19.60	20.60	24.80	26.80
39	0	1	0	1	19.60	21.60	24.80	26.80
40	1	0	1	0	20.60	21.60	24.80	26.80
41	0	1	0	1	20.60	22.60	24.80	26.80
42	1	0	1	0	21.60	22.60	24.80	26.80
43	0	1	0	1	21.60	23.60	24.80	26.80
44	1	0	1	0	22.60	23.60	24.80	26.80
45	0	1	0	1	22.60	24.60	24.80	26.80
46	1	0	1	0	23.60	24.60	24.80	26.80
47	0	1	0	1	23.60	25.60	24.80	26.80
48	1	1	0.2	0.2	23.80	25.80	24.80	26.80
49	1	0	1	0	24.80	25.80	24.80	26.80
50	0	1	0	1	24.80	26.80	24.80	26.80
