ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	28.80	25.80
2	0	1	0	1	0.60	1.60	28.80	25.80
3	1	0	1	0	1.60	1.60	28.80	25.80
4	0	1	0	1	1.60	2.60	28.80	25.80
5	1	0	1	0	2.60	2.60	28.80	25.80
6	0	1	0	1	2.60	3.60	28.80	25.80
7	1	0	1	0	3.60	3.60	28.80	25.80
8	0	0	0.6	0.6	4.20	4.20	28.80	25.80
9	0	1	0	1	4.20	5.20	28.80	25.80
10	1	0	1	0	5.20	5.20	28.80	25.80
11	0	1	0	1	5.20	6.20	28.80	25.80
12	1	0	1	0	6.20	6.20	28.80	25.80
13	0	0	0.6	0.6	6.80	6.80	28.80	25.80
14	0	1	0	1	6.80	7.80	28.80	25.80
15	1	0	1	0	7.80	7.80	28.80	25.80
16	1	1	0.2	0.2	8.00	8.00	28.80	25.80
17	1	0	1	0	9.00	8.00	28.80	25.80
18	1	0	1	0	10.00	8.00	28.80	25.80
19	1	0	1	0	11.00	8.00	28.80	25.80
20	1	1	0.2	0.2	11.20	8.20	28.80	25.80
21	1	1	0.2	0.2	11.40	8.40	28.80	25.80
22	0	0	0.6	0.6	12.00	9.00	28.80	25.80
23	0	0	0.6	0.6	12.60	9.60	28.80	25.80
24	0	0	0.6	0.6	13.20	10.20	28.80	25.80
25	0	0	0.6	0.6	13.80	10.80	28.80	25.80
26	0	0	0.6	0.6	14.40	11.40	28.80	25.80
27	0	0	0.6	0.6	15.00	12.00	28.80	25.80
28	0	0	0.6	0.6	15.60	12.60	28.80	25.80
29	0	0	0.6	0.6	16.20	13.20	28.80	25.80
30	0	0	0.6	0.6	16.80	13.80	28.80	25.80
31	0	0	0.6	0.6	17.40	14.40	28.80	25.80
32	0	0	0.6	0.6	18.00	15.00	28.80	25.80
33	0	0	0.6	0.6	18.60	15.60	28.80	25.80
34	0	0	0.6	0.6	19.20	16.20	28.80	25.80
35	0	0	0.6	0.6	19.80	16.80	28.80	25.80
36	0	0	0.6	0.6	20.40	17.40	28.80	25.80
37	0	0	0.6	0.6	21.00	18.00	28.80	25.80
38	0	0	0.6	0.6	21.60	18.60	28.80	25.80
39	0	0	0.6	0.6	22.20	19.20	28.80	25.80
40	0	0	0.6	0.6	22.80	19.80	28.80	25.80
41	0	0	0.6	0.6	23.40	20.40	28.80	25.80
42	0	0	0.6	0.6	24.00	21.00	28.80	25.80
43	0	0	0.6	0.6	24.60	21.60	28.80	25.80
44	0	0	0.6	0.6	25.20	22.20	28.80	25.80
45	0	0	0.6	0.6	25.80	22.80	28.80	25.80
46	0	0	0.6	0.6	26.40	23.40	28.80	25.80
47	0	0	0.6	0.6	27.00	24.00	28.80	25.80
48	0	0	0.6	0.6	27.60	24.60	28.80	25.80
49	0	0	0.6	0.6	28.20	25.20	28.80	25.80
50	0	0	0.6	0.6	28.80	25.80	28.80	25.80
