ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	22.60	19.60
2	1	1	0.2	0.2	0.20	1.20	22.60	19.60
3	1	1	0.2	0.2	0.40	1.40	22.60	19.60
4	1	0	1	0	1.40	1.40	22.60	19.60
5	1	1	0.2	0.2	1.60	1.60	22.60	19.60
6	0	1	0	1	1.60	2.60	22.60	19.60
7	1	1	0.2	0.2	1.80	2.80	22.60	19.60
8	1	1	0.2	0.2	2.00	3.00	22.60	19.60
9	1	1	0.2	0.2	2.20	3.20	22.60	19.60
10	1	0	1	0	3.20	3.20	22.60	19.60
11	1	1	0.2	0.2	3.40	3.40	22.60	19.60
12	1	0	1	0	4.40	3.40	22.60	19.60
13	1	1	0.2	0.2	4.60	3.60	22.60	19.60
14	1	0	1	0	5.60	3.60	22.60	19.60
15	1	1	0.2	0.2	5.80	3.80	22.60	19.60
16	1	1	0.2	0.2	6.00	4.00	22.60	19.60
17	1	0	1	0	7.00	4.00	22.60	19.60
18	1	1	0.2	0.2	7.20	4.20	22.60	19.60
19	1	1	0.2	0.2	7.40	4.40	22.60	19.60
20	1	0	1	0	8.40	4.40	22.60	19.60
21	1	1	0.2	0.2	8.60	4.60	22.60	19.60
22	0	1	0	1	8.60	5.60	22.60	19.60
23	1	0	1	0	9.60	5.60	22.60	19.60
24	0	1	0	1	9.60	6.60	22.60	19.60
25	1	0	1	0	10.60	6.60	22.60	19.60
26	0	1	0	1	10.60	7.60	22.60	19.60
27	1	0	1	0	11.60	7.60	22.60	19.60
28	0	1	0	1	11.60	8.60	22.60	19.60
29	1	0	1	0	12.60	8.60	22.60	19.60
30	0	1	0	1	12.60	9.60	22.60	19.60
31	1	0	1	0	13.60	9.60	22.60	19.60
32	0	1	0	1	13.60	10.60	22.60	19.60
33	1	0	1	0	14.60	10.60	22.60	19.60
34	0	1	0	1	14.60	11.60	22.60	19.60
35	1	0	1	0	15.60	11.60	22.60	19.60
36	0	1	0	1	15.60	12.60	22.60	19.60
37	1	0	1	0	16.60	12.60	22.60	19.60
38	0	1	0	1	16.60	13.60	22.60	19.60
39	1	0	1	0	17.60	13.60	22.60	19.60
40	0	1	0	1	17.60	14.60	22.60	19.60
41	1	0	1	0	18.60	14.60	22.60	19.60
42	0	1	0	1	18.60	15.60	22.60	19.60
43	1	0	1	0	19.60	15.60	22.60	19.60
44	0	1	0	1	19.60	16.60	22.60	19.60
45	1	0	1	0	20.60	16.60	22.60	19.60
46	0	1	0	1	20.60	17.60	22.60	19.60
47	1	0	1	0	21.60	17.60	22.60	19.60
48	0	1	0	1	21.60	18.60	22.60	19.60
49	1	0	1	0	22.60	18.60	22.60	19.60
50	0	1	0	1	22.60	19.60	22.60	19.60
