ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	33.40	22.40
2	0	1	0	1	0.20	1.20	33.40	22.40
3	1	0	1	0	1.20	1.20	33.40	22.40
4	0	1	0	1	1.20	2.20	33.40	22.40
5	0	0	0.6	0.6	1.80	2.80	33.40	22.40
6	0	0	0.6	0.6	2.40	3.40	33.40	22.40
7	1	0	1	0	3.40	3.40	33.40	22.40
8	0	0	0.6	0.6	4.00	4.00	33.40	22.40
9	1	0	1	0	5.00	4.00	33.40	22.40
10	0	0	0.6	0.6	5.60	4.60	33.40	22.40
11	0	0	0.6	0.6	6.20	5.20	33.40	22.40
12	0	0	0.6	0.6	6.80	5.80	33.40	22.40
13	0	0	0.6	0.6	7.40	6.40	33.40	22.40
14	0	0	0.6	0.6	8.00	7.00	33.40	22.40
15	0	0	0.6	0.6	8.60	7.60	33.40	22.40
16	0	0	0.6	0.6	9.20	8.20	33.40	22.40
17	0	0	0.6	0.6	9.80	8.80	33.40	22.40
18	0	0	0.6	0.6	10.40	9.40	33.40	22.40
19	0	0	0.6	0.6	11.00	10.00	33.40	22.40
20	0	0	0.6	0.6	11.60	10.60	33.40	22.40
21	0	1	0	1	11.60	11.60	33.40	22.40
22	0	0	0.6	0.6	12.20	12.20	33.40	22.40
23	0	0	0.6	0.6	12.80	12.80	33.40	22.40
24	0	0	0.6	0.6	13.40	13.40	33.40	22.40
25	0	0	0.6	0.6	14.00	14.00	33.40	22.40
26	0	0	0.6	0.6	14.60	14.60	33.40	22.40
27	0	0	0.6	0.6	15.20	15.20	33.40	22.40
28	0	0	0.6	0.6	15.80	15.80	33.40	22.40
29	0	0	0.6	0.6	16.40	16.40	33.40	22.40
30	0	0	0.6	0.6	17.00	17.00	33.40	22.40
31	0	0	0.6	0.6	17.60	17.60	33.40	22.40
32	0	0	0.6	0.6	18.20	18.20	33.40	22.40
33	0	0	0.6	0.6	18.80	18.80	33.40	22.40
34	0	0	0.6	0.6	19.40	19.40	33.40	22.40
35	0	0	0.6	0.6	20.00	20.00	33.40	22.40
36	0	0	0.6	0.6	20.60	20.60	33.40	22.40
37	0	0	0.6	0.6	21.20	21.20	33.40	22.40
38	0	0	0.6	0.6	21.80	21.80	33.40	22.40
39	0	0	0.6	0.6	22.40	22.40	33.40	22.40
40	1	0	1	0	23.40	22.40	33.40	22.40
41	1	0	1	0	24.40	22.40	33.40	22.40
42	1	0	1	0	25.40	22.40	33.40	22.40
43	1	0	1	0	26.40	22.40	33.40	22.40
44	1	0	1	0	27.40	22.40	33.40	22.40
45	1	0	1	0	28.40	22.40	33.40	22.40
46	1	0	1	0	29.40	22.40	33.40	22.40
47	1	0	1	0	30.40	22.40	33.40	22.40
48	1	0	1	0	31.40	22.40	33.40	22.40
49	1	0	1	0	32.40	22.40	33.40	22.40
50	1	0	1	0	33.40	22.40	33.40	22.40
