ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	24.20	17.20
2	0	0	0.6	0.6	0.60	1.60	24.20	17.20
3	0	0	0.6	0.6	1.20	2.20	24.20	17.20
4	1	1	0.2	0.2	1.40	2.40	24.20	17.20
5	1	1	0.2	0.2	1.60	2.60	24.20	17.20
6	1	1	0.2	0.2	1.80	2.80	24.20	17.20
7	0	0	0.6	0.6	2.40	3.40	24.20	17.20
8	1	1	0.2	0.2	2.60	3.60	24.20	17.20
9	1	1	0.2	0.2	2.80	3.80	24.20	17.20
10	0	0	0.6	0.6	3.40	4.40	24.20	17.20
11	1	0	1	0	4.40	4.40	24.20	17.20
12	0	0	0.6	0.6	5.00	5.00	24.20	17.20
13	1	1	0.2	0.2	5.20	5.20	24.20	17.20
14	1	1	0.2	0.2	5.40	5.40	24.20	17.20
15	0	1	0	1	5.40	6.40	24.20	17.20
16	0	0	0.6	0.6	6.00	7.00	24.20	17.20
17	1	1	0.2	0.2	6.20	7.20	24.20	17.20
18	0	1	0	1	6.20	8.20	24.20	17.20
19	1	0	1	0	7.20	8.20	24.20	17.20
20	1	0	1	0	8.20	8.20	24.20	17.20
21	1	0	1	0	9.20	8.20	24.20	17.20
22	0	0	0.6	0.6	9.80	8.80	24.20	17.20
23	1	1	0.2	0.2	10.00	9.00	24.20	17.20
24	1	1	0.2	0.2	10.20	9.20	24.20	17.20
25	0	0	0.6	0.6	10.80	9.80	24.20	17.20
26	1	1	0.2	0.2	11.00	10.00	24.20	17.20
27	1	0	1	0	12.00	10.00	24.20	17.20
28	0	0	0.6	0.6	12.60	10.60	24.20	17.20
29	1	1	0.2	0.2	12.80	10.80	24.20	17.20
30	1	1	0.2	0.2	13.00	11.00	24.20	17.20
31	1	0	1	0	14.00	11.00	24.20	17.20
32	0	0	0.6	0.6	14.60	11.60	24.20	17.20
33	1	1	0.2	0.2	14.80	11.80	24.20	17.20
34	1	0	1	0	15.80	11.80	24.20	17.20
35	1	1	0.2	0.2	16.00	12.00	24.20	17.20
36	0	0	0.6	0.6	16.60	12.60	24.20	17.20
37	0	1	0	1	16.60	13.60	24.20	17.20
38	1	1	0.2	0.2	16.80	13.80	24.20	17.20
39	1	1	0.2	0.2	17.00	14.00	24.20	17.20
40	1	0	1	0	18.00	14.00	24.20	17.20
41	1	0	1	0	19.00	14.00	24.20	17.20
42	1	0	1	0	20.00	14.00	24.20	17.20
43	1	0	1	0	21.00	14.00	24.20	17.20
44	1	0	1	0	22.00	14.00	24.20	17.20
45	0	0	0.6	0.6	22.60	14.60	24.20	17.20
46	1	1	0.2	0.2	22.80	14.80	24.20	17.20
47	1	1	0.2	0.2	23.00	15.00	24.20	17.20
48	0	0	0.6	0.6	23.60	15.60	24.20	17.20
49	0	1	0	1	23.60	16.60	24.20	17.20
50	0	0	0.6	0.6	24.20	17.20	24.20	17.20
