ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	24.20	22.20
2	0	0	0.6	0.6	0.80	0.80	24.20	22.20
3	1	0	1	0	1.80	0.80	24.20	22.20
4	0	0	0.6	0.6	2.40	1.40	24.20	22.20
5	1	1	0.2	0.2	2.60	1.60	24.20	22.20
6	1	1	0.2	0.2	2.80	1.80	24.20	22.20
7	1	0	1	0	3.80	1.80	24.20	22.20
8	1	1	0.2	0.2	4.00	2.00	24.20	22.20
9	0	0	0.6	0.6	4.60	2.60	24.20	22.20
10	1	0	1	0	5.60	2.60	24.20	22.20
11	0	1	0	1	5.60	3.60	24.20	22.20
12	1	0	1	0	6.60	3.60	24.20	22.20
13	0	1	0	1	6.60	4.60	24.20	22.20
14	1	0	1	0	7.60	4.60	24.20	22.20
15	0	1	0	1	7.60	5.60	24.20	22.20
16	0	0	0.6	0.6	8.20	6.20	24.20	22.20
17	1	0	1	0	9.20	6.20	24.20	22.20
18	0	1	0	1	9.20	7.20	24.20	22.20
19	0	0	0.6	0.6	9.80	7.80	24.20	22.20
20	1	0	1	0	10.80	7.80	24.20	22.20
21	0	1	0	1	10.80	8.80	24.20	22.20
22	0	0	0.6	0.6	11.40	9.40	24.20	22.20
23	1	0	1	0	12.40	9.40	24.20	22.20
24	0	1	0	1	12.40	10.40	24.20	22.20
25	0	0	0.6	0.6	13.00	11.00	24.20	22.20
26	1	0	1	0	14.00	11.00	24.20	22.20
27	0	1	0	1	14.00	12.00	24.20	22.20
28	0	0	0.6	0.6	14.60	12.60	24.20	22.20
29	1	0	1	0	15.60	12.60	24.20	22.20
30	0	1	0	1	15.60	13.60	24.20	22.20
31	0	0	0.6	0.6	16.20	14.20	24.20	22.20
32	1	0	1	0	17.20	14.20	24.20	22.20
33	0	1	0	1	17.20	15.20	24.20	22.20
34	1	1	0.2	0.2	17.40	15.40	24.20	22.20
35	0	0	0.6	0.6	18.00	16.00	24.20	22.20
36	1	0	1	0	19.00	16.00	24.20	22.20
37	1	1	0.2	0.2	19.20	16.20	24.20	22.20
38	1	1	0.2	0.2	19.40	16.40	24.20	22.20
39	0	1	0	1	19.40	17.40	24.20	22.20
40	0	1	0	1	19.40	18.40	24.20	22.20
41	0	0	0.6	0.6	20.00	19.00	24.20	22.20
42	0	1	0	1	20.00	20.00	24.20	22.20
43	0	0	0.6	0.6	20.60	20.60	24.20	22.20
44	0	1	0	1	20.60	21.60	24.20	22.20
45	1	0	1	0	21.60	21.60	24.20	22.20
46	1	1	0.2	0.2	21.80	21.80	24.20	22.20
47	1	1	0.2	0.2	22.00	22.00	24.20	22.20
48	1	0	1	0	23.00	22.00	24.20	22.20
49	1	1	0.2	0.2	23.20	22.20	24.20	22.20
50	1	0	1	0	24.20	22.20	24.20	22.20
