ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	36.20	20.20
2	0	0	0.6	0.6	1.60	0.60	36.20	20.20
3	0	0	0.6	0.6	2.20	1.20	36.20	20.20
4	0	1	0	1	2.20	2.20	36.20	20.20
5	0	0	0.6	0.6	2.80	2.80	36.20	20.20
6	0	0	0.6	0.6	3.40	3.40	36.20	20.20
7	0	0	0.6	0.6	4.00	4.00	36.20	20.20
8	0	0	0.6	0.6	4.60	4.60	36.20	20.20
9	0	0	0.6	0.6	5.20	5.20	36.20	20.20
10	1	0	1	0	6.20	5.20	36.20	20.20
11	0	0	0.6	0.6	6.80	5.80	36.20	20.20
12	0	0	0.6	0.6	7.40	6.40	36.20	20.20
13	0	0	0.6	0.6	8.00	7.00	36.20	20.20
14	0	0	0.6	0.6	8.60	7.60	36.20	20.20
15	0	0	0.6	0.6	9.20	8.20	36.20	20.20
16	0	0	0.6	0.6	9.80	8.80	36.20	20.20
17	0	0	0.6	0.6	10.40	9.40	36.20	20.20
18	0	0	0.6	0.6	11.00	10.00	36.20	20.20
19	0	0	0.6	0.6	11.60	10.60	36.20	20.20
20	0	0	0.6	0.6	12.20	11.20	36.20	20.20
21	0	0	0.6	0.6	12.80	11.80	36.20	20.20
22	0	0	0.6	0.6	13.40	12.40	36.20	20.20
23	0	0	0.6	0.6	14.00	13.00	36.20	20.20
24	0	0	0.6	0.6	14.60	13.60	36.20	20.20
25	0	0	0.6	0.6	15.20	14.20	36.20	20.20
26	0	0	0.6	0.6	15.80	14.80	36.20	20.20
27	0	0	0.6	0.6	16.40	15.40	36.20	20.20
28	0	0	0.6	0.6	17.00	16.00	36.20	20.20
29	0	0	0.6	0.6	17.60	16.60	36.20	20.20
30	0	0	0.6	0.6	18.20	17.20	36.20	20.20
31	0	0	0.6	0.6	18.80	17.80	36.20	20.20
32	0	0	0.6	0.6	19.40	18.40	36.20	20.20
33	0	0	0.6	0.6	20.00	19.00	36.20	20.20
34	0	0	0.6	0.6	20.60	19.60	36.20	20.20
35	0	0	0.6	0.6	21.20	20.20	36.20	20.20
36	1	0	1	0	22.20	20.20	36.20	20.20
37	1	0	1	0	23.20	20.20	36.20	20.20
38	1	0	1	0	24.20	20.20	36.20	20.20
39	1	0	1	0	25.20	20.20	36.20	20.20
40	1	0	1	0	26.20	20.20	36.20	20.20
41	1	0	1	0	27.20	20.20	36.20	20.20
42	1	0	1	0	28.20	20.20	36.20	20.20
43	1	0	1	0	29.20	20.20	36.20	20.20
44	1	0	1	0	30.20	20.20	36.20	20.20
45	1	0	1	0	31.20	20.20	36.20	20.20
46	1	0	1	0	32.20	20.20	36.20	20.20
47	1	0	1	0	33.20	20.20	36.20	20.20
48	1	0	1	0	34.20	20.20	36.20	20.20
49	1	0	1	0	35.20	20.20	36.20	20.20
50	1	0	1	0	36.20	20.20	36.20	20.20
