ROUND_NO1	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
16	0	1	0	1	8.20	9.20	26.80	26.80
17	0	0	0.6	0.6	8.80	9.80	26.80	26.80
18	0	0	0.6	0.6	9.40	10.40	26.80	26.80
19	0	0	0.6	0.6	10.00	11.00	26.80	26.80
20	0	0	0.6	0.6	10.60	11.60	26.80	26.80
21	0	0	0.6	0.6	11.20	12.20	26.80	26.80
22	0	0	0.6	0.6	11.80	12.80	26.80	26.80
23	0	0	0.6	0.6	12.40	13.40	26.80	26.80
24	0	0	0.6	0.6	13.00	14.00	26.80	26.80
25	0	0	0.6	0.6	13.60	14.60	26.80	26.80
26	0	0	0.6	0.6	14.20	15.20	26.80	26.80
27	0	0	0.6	0.6	14.80	15.80	26.80	26.80
28	1	0	1	0	15.80	15.80	26.80	26.80
29	0	1	0	1	15.80	16.80	26.80	26.80
30	1	0	1	0	16.80	16.80	26.80	26.80
31	0	1	0	1	16.80	17.80	26.80	26.80
32	1	0	1	0	17.80	17.80	26.80	26.80
33	0	1	0	1	17.80	18.80	26.80	26.80
34	1	0	1	0	18.80	18.80	26.80	26.80
35	0	1	0	1	18.80	19.80	26.80	26.80
36	1	0	1	0	19.80	19.80	26.80	26.80
37	0	1	0	1	19.80	20.80	26.80	26.80
38	1	0	1	0	20.80	20.80	26.80	26.80
39	0	1	0	1	20.80	21.80	26.80	26.80
40	1	0	1	0	21.80	21.80	26.80	26.80
41	0	1	0	1	21.80	22.80	26.80	26.80
42	1	0	1	0	22.80	22.80	26.80	26.80
43	0	1	0	1	22.80	23.80	26.80	26.80
44	1	0	1	0	23.80	23.80	26.80	26.80
45	0	1	0	1	23.80	24.80	26.80	26.80
46	1	0	1	0	24.80	24.80	26.80	26.80
47	0	1	0	1	24.80	25.80	26.80	26.80
48	1	0	1	0	25.80	25.80	26.80	26.80
49	0	1	0	1	25.80	26.80	26.80	26.80
50	1	0	1	0	26.80	26.80	26.80	26.80
ROUND_NO4	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	24.60	24.60
2	1	1	0.2	0.2	0.40	0.40	24.60	24.60
3	1	0	1	0	1.40	0.40	24.60	24.60
4	0	1	0	1	1.40	1.40	24.60	24.60
5	1	0	1	0	2.40	1.40	24.60	24.60
6	0	1	0	1	2.40	2.40	24.60	24.60
7	1	0	1	0	3.40	2.40	24.60	24.60
8	0	1	0	1	3.40	3.40	24.60	24.60
9	1	0	1	0	4.40	3.40	24.60	24.60
10	0	1	0	1	4.40	4.40	24.60	24.60
11	1	0	1	0	5.40	4.40	24.60	24.60
12	0	1	0	1	5.40	5.40	24.60	24.60
13	1	0	1	0	6.40	5.40	24.60	24.60
14	0	1	0	1	6.40	6.40	24.60	24.60
15	1	0	1	0	7.40	6.40	24.60	24.60
16	0	1	0	1	7.40	7.40	24.60	24.60
17	1	0	1	0	8.40	7.40	24.60	24.60
18	0	1	0	1	8.40	8.40	24.60	24.60
19	1	0	1	0	9.40	8.40	24.60	24.60
20	0	1	0	1	9.40	9.40	24.60	24.60
21	1	0	1	0	10.40	9.40	24.60	24.60
22	0	1	0	1	10.40	10.40	24.60	24.60
23	1	0	1	0	11.40	10.40	24.60	24.60
24	0	1	0	1	11.40	11.40	24.60	24.60
25	1	0	1	0	12.40	11.40	24.60	24.60
26	0	1	0	1	12.40	12.40	24.60	24.60
27	1	0	1	0	13.40	12.40	24.60	24.60
28	0	1	0	1	13.40	13.40	24.60	24.60
29	1	0	1	0	14.40	13.40	24.60	24.60
30	0	1	0	1	14.40	14.40	24.60	24.60
31	1	0	1	0	15.40	14.40	24.60	24.60
32	0	1	0	1	15.40	15.40	24.60	24.60
33	1	0	1	0	16.40	15.40	24.60	24.60
34	0	1	0	1	16.40	16.40	24.60	24.60
35	1	0	1	0	17.40	16.40	24.60	24.60
36	0	1	0	1	17.40	17.40	24.60	24.60
37	1	0	1	0	18.40	17.40	24.60	24.60
38	0	1	0	1	18.40	18.40	24.60	24.60
39	1	0	1	0	19.40	18.40	24.60	24.60
40	0	1	0	1	19.40	19.40	24.60	24.60
41	1	0	1	0	20.40	19.40	24.60	24.60
42	0	0	0.6	0.6	21.00	20.00	24.60	24.60
43	0	0	0.6	0.6	21.60	20.60	24.60	24.60
44	0	1	0	1	21.60	21.60	24.60	24.60
45	1	0	1	0	22.60	21.60	24.60	24.60
46	0	1	0	1	22.60	22.60	24.60	24.60
47	1	0	1	0	23.60	22.60	24.60	24.60
48	0	1	0	1	23.60	23.60	24.60	24.60
49	1	0	1	0	24.60	23.60	24.60	24.60
50	0	1	0	1	24.60	24.60	24.60	24.60
ROUND_NO5	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	24.40	25.40
2	0	1	0	1	0.20	1.20	24.40	25.40
3	0	0	0.6	0.6	0.80	1.80	24.40	25.40
4	0	0	0.6	0.6	1.40	2.40	24.40	25.40
5	1	0	1	0	2.40	2.40	24.40	25.40
6	0	1	0	1	2.40	3.40	24.40	25.40
7	1	0	1	0	3.40	3.40	24.40	25.40
8	0	1	0	1	3.40	4.40	24.40	25.40
9	1	0	1	0	4.40	4.40	24.40	25.40
10	0	1	0	1	4.40	5.40	24.40	25.40
11	1	0	1	0	5.40	5.40	24.40	25.40
12	0	1	0	1	5.40	6.40	24.40	25.40
13	1	0	1	0	6.40	6.40	24.40	25.40
14	0	1	0	1	6.40	7.40	24.40	25.40
15	1	0	1	0	7.40	7.40	24.40	25.40
16	0	1	0	1	7.40	8.40	24.40	25.40
17	1	0	1	0	8.40	8.40	24.40	25.40
18	0	1	0	1	8.40	9.40	24.40	25.40
19	1	0	1	0	9.40	9.40	24.40	25.40
20	0	1	0	1	9.40	10.40	24.40	25.40
21	1	0	1	0	10.40	10.40	24.40	25.40
22	0	1	0	1	10.40	11.40	24.40	25.40
23	1	0	1	0	11.40	11.40	24.40	25.40
24	0	1	0	1	11.40	12.40	24.40	25.40
25	1	0	1	0	12.40	12.40	24.40	25.40
26	0	1	0	1	12.40	13.40	24.40	25.40
27	1	0	1	0	13.40	13.40	24.40	25.40
28	0	1	0	1	13.40	14.40	24.40	25.40
29	1	0	1	0	14.40	14.40	24.40	25.40
30	0	1	0	1	14.40	15.40	24.40	25.40
31	1	0	1	0	15.40	15.40	24.40	25.40
32	0	1	0	1	15.40	16.40	24.40	25.40
33	1	0	1	0	16.40	16.40	24.40	25.40
34	0	1	0	1	16.40	17.40	24.40	25.40
35	1	0	1	0	17.40	17.40	24.40	25.40
36	0	1	0	1	17.40	18.40	24.40	25.40
37	1	0	1	0	18.40	18.40	24.40	25.40
38	0	1	0	1	18.40	19.40	24.40	25.40
39	1	0	1	0	19.40	19.40	24.40	25.40
40	0	1	0	1	19.40	20.40	24.40	25.40
41	1	0	1	0	20.40	20.40	24.40	25.40
42	0	1	0	1	20.40	21.40	24.40	25.40
43	1	0	1	0	21.40	21.40	24.40	25.40
44	0	1	0	1	21.40	22.40	24.40	25.40
45	1	0	1	0	22.40	22.40	24.40	25.40
46	0	1	0	1	22.40	23.40	24.40	25.40
47	1	0	1	0	23.40	23.40	24.40	25.40
48	0	1	0	1	23.40	24.40	24.40	25.40
49	1	0	1	0	24.40	24.40	24.40	25.40
50	0	1	0	1	24.40	25.40	24.40	25.40
ROUND_NO6	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	26.20	26.20
2	0	0	0.6	0.6	1.20	1.20	26.20	26.20
3	0	0	0.6	0.6	1.80	1.80	26.20	26.20
4	0	0	0.6	0.6	2.40	2.40	26.20	26.20
5	0	0	0.6	0.6	3.00	3.00	26.20	26.20
6	0	0	0.6	0.6	3.60	3.60	26.20	26.20
7	0	0	0.6	0.6	4.20	4.20	26.20	26.20
8	0	0	0.6	0.6	4.80	4.80	26.20	26.20
9	0	0	0.6	0.6	5.40	5.40	26.20	26.20
10	0	0	0.6	0.6	6.00	6.00	26.20	26.20
11	0	0	0.6	0.6	6.60	6.60	26.20	26.20
12	0	0	0.6	0.6	7.20	7.20	26.20	26.20
13	0	1	0	1	7.20	8.20	26.20	26.20
14	1	0	1	0	8.20	8.20	26.20	26.20
15	0	1	0	1	8.20	9.20	26.20	26.20
16	1	0	1	0	9.20	9.20	26.20	26.20
17	0	1	0	1	9.20	10.20	26.20	26.20
18	1	0	1	0	10.20	10.20	26.20	26.20
19	0	1	0	1	10.20	11.20	26.20	26.20
20	1	0	1	0	11.20	11.20	26.20	26.20
21	0	1	0	1	11.20	12.20	26.20	26.20
22	1	0	1	0	12.20	12.20	26.20	26.20
23	0	1	0	1	12.20	13.20	26.20	26.20
24	1	0	1	0	13.20	13.20	26.20	26.20
25	0	1	0	1	13.20	14.20	26.20	26.20
26	1	0	1	0	14.20	14.20	26.20	26.20
27	0	1	0	1	14.20	15.20	26.20	26.20
28	1	0	1	0	15.20	15.20	26.20	26.20
29	0	1	0	1	15.20	16.20	26.20	26.20
30	1	0	1	0	16.20	16.20	26.20	26.20
31	0	1	0	1	16.20	17.20	26.20	26.20
32	1	0	1	0	17.20	17.20	26.20	26.20
33	0	1	0	1	17.20	18.20	26.20	26.20
34	1	0	1	0	18.20	18.20	26.20	26.20
35	0	1	0	1	18.20	19.20	26.20	26.20
36	1	0	1	0	19.20	19.20	26.20	26.20
37	0	1	0	1	19.20	20.20	26.20	26.20
38	1	0	1	0	20.20	20.20	26.20	26.20
39	0	1	0	1	20.20	21.20	26.20	26.20
40	1	0	1	0	21.20	21.20	26.20	26.20
41	0	1	0	1	21.20	22.20	26.20	26.20
42	1	0	1	0	22.20	22.20	26.20	26.20
43	0	1	0	1	22.20	23.20	26.20	26.20
44	1	0	1	0	23.20	23.20	26.20	26.20
45	0	1	0	1	23.20	24.20	26.20	26.20
46	1	0	1	0	24.20	24.20	26.20	26.20
47	0	1	0	1	24.20	25.20	26.20	26.20
48	1	0	1	0	25.20	25.20	26.20	26.20
49	0	1	0	1	25.20	26.20	26.20	26.20
50	1	0	1	0	26.20	26.20	26.20	26.20
ROUND_NO7	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	25.00	25.00
2	0	1	0	1	1.00	1.00	25.00	25.00
3	1	0	1	0	2.00	1.00	25.00	25.00
4	0	1	0	1	2.00	2.00	25.00	25.00
5	1	0	1	0	3.00	2.00	25.00	25.00
6	0	1	0	1	3.00	3.00	25.00	25.00
7	1	0	1	0	4.00	3.00	25.00	25.00
8	0	1	0	1	4.00	4.00	25.00	25.00
9	1	0	1	0	5.00	4.00	25.00	25.00
10	0	1	0	1	5.00	5.00	25.00	25.00
11	1	0	1	0	6.00	5.00	25.00	25.00
12	0	1	0	1	6.00	6.00	25.00	25.00
13	1	0	1	0	7.00	6.00	25.00	25.00
14	0	1	0	1	7.00	7.00	25.00	25.00
15	1	0	1	0	8.00	7.00	25.00	25.00
16	0	1	0	1	8.00	8.00	25.00	25.00
17	1	0	1	0	9.00	8.00	25.00	25.00
18	0	1	0	1	9.00	9.00	25.00	25.00
19	1	0	1	0	10.00	9.00	25.00	25.00
20	0	1	0	1	10.00	10.00	25.00	25.00
21	1	0	1	0	11.00	10.00	25.00	25.00
22	0	1	0	1	11.00	11.00	25.00	25.00
23	1	0	1	0	12.00	11.00	25.00	25.00
24	0	1	0	1	12.00	12.00	25.00	25.00
25	1	0	1	0	13.00	12.00	25.00	25.00
26	0	1	0	1	13.00	13.00	25.00	25.00
27	1	0	1	0	14.00	13.00	25.00	25.00
28	0	1	0	1	14.00	14.00	25.00	25.00
29	1	0	1	0	15.00	14.00	25.00	25.00
30	0	1	0	1	15.00	15.00	25.00	25.00
31	1	0	1	0	16.00	15.00	25.00	25.00
32	0	1	0	1	16.00	16.00	25.00	25.00
33	1	0	1	0	17.00	16.00	25.00	25.00
34	0	1	0	1	17.00	17.00	25.00	25.00
35	1	0	1	0	18.00	17.00	25.00	25.00
36	0	1	0	1	18.00	18.00	25.00	25.00
37	1	0	1	0	19.00	18.00	25.00	25.00
38	0	1	0	1	19.00	19.00	25.00	25.00
39	1	0	1	0	20.00	19.00	25.00	25.00
40	0	1	0	1	20.00	20.00	25.00	25.00
41	1	0	1	0	21.00	20.00	25.00	25.00
42	0	1	0	1	21.00	21.00	25.00	25.00
43	1	0	1	0	22.00	21.00	25.00	25.00
44	0	1	0	1	22.00	22.00	25.00	25.00
45	1	0	1	0	23.00	22.00	25.00	25.00
46	0	1	0	1	23.00	23.00	25.00	25.00
47	1	0	1	0	24.00	23.00	25.00	25.00
48	0	1	0	1	24.00	24.00	25.00	25.00
49	1	0	1	0	25.00	24.00	25.00	25.00
50	0	1	0	1	25.00	25.00	25.00	25.00
ROUND_NO8	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	35.20	18.20
2	0	0	0.6	0.6	0.80	0.80	35.20	18.20
3	0	0	0.6	0.6	1.40	1.40	35.20	18.20
4	0	0	0.6	0.6	2.00	2.00	35.20	18.20
5	0	0	0.6	0.6	2.60	2.60	35.20	18.20
6	0	0	0.6	0.6	3.20	3.20	35.20	18.20
7	0	0	0.6	0.6	3.80	3.80	35.20	18.20
8	0	0	0.6	0.6	4.40	4.40	35.20	18.20
9	0	0	0.6	0.6	5.00	5.00	35.20	18.20
10	0	0	0.6	0.6	5.60	5.60	35.20	18.20
11	0	0	0.6	0.6	6.20	6.20	35.20	18.20
12	0	0	0.6	0.6	6.80	6.80	35.20	18.20
13	0	0	0.6	0.6	7.40	7.40	35.20	18.20
14	0	0	0.6	0.6	8.00	8.00	35.20	18.20
15	0	0	0.6	0.6	8.60	8.60	35.20	18.20
16	0	0	0.6	0.6	9.20	9.20	35.20	18.20
17	0	0	0.6	0.6	9.80	9.80	35.20	18.20
18	0	0	0.6	0.6	10.40	10.40	35.20	18.20
19	0	0	0.6	0.6	11.00	11.00	35.20	18.20
20	0	0	0.6	0.6	11.60	11.60	35.20	18.20
21	0	0	0.6	0.6	12.20	12.20	35.20	18.20
22	0	0	0.6	0.6	12.80	12.80	35.20	18.20
23	0	0	0.6	0.6	13.40	13.40	35.20	18.20
24	1	1	0.2	0.2	13.60	13.60	35.20	18.20
25	1	1	0.2	0.2	13.80	13.80	35.20	18.20
26	0	0	0.6	0.6	14.40	14.40	35.20	18.20
27	0	1	0	1	14.40	15.40	35.20	18.20
28	0	0	0.6	0.6	15.00	16.00	35.20	18.20
29	0	1	0	1	15.00	17.00	35.20	18.20
30	0	0	0.6	0.6	15.60	17.60	35.20	18.20
31	0	0	0.6	0.6	16.20	18.20	35.20	18.20
32	1	0	1	0	17.20	18.20	35.20	18.20
33	1	0	1	0	18.20	18.20	35.20	18.20
34	1	0	1	0	19.20	18.20	35.20	18.20
35	1	0	1	0	20.20	18.20	35.20	18.20
36	1	0	1	0	21.20	18.20	35.20	18.20
37	1	0	1	0	22.20	18.20	35.20	18.20
38	1	0	1	0	23.20	18.20	35.20	18.20
39	1	0	1	0	24.20	18.20	35.20	18.20
40	1	0	1	0	25.20	18.20	35.20	18.20
41	1	0	1	0	26.20	18.20	35.20	18.20
42	1	0	1	0	27.20	18.20	35.20	18.20
43	1	0	1	0	28.20	18.20	35.20	18.20
44	1	0	1	0	29.20	18.20	35.20	18.20
45	1	0	1	0	30.20	18.20	35.20	18.20
46	1	0	1	0	31.20	18.20	35.20	18.20
47	1	0	1	0	32.20	18.20	35.20	18.20
48	1	0	1	0	33.20	18.20	35.20	18.20
49	1	0	1	0	34.20	18.20	35.20	18.20
50	1	0	1	0	35.20	18.20	35.20	18.20
ROUND_NO9	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	35.60	20.60
2	0	0	0.6	0.6	0.60	1.60	35.60	20.60
3	0	0	0.6	0.6	1.20	2.20	35.60	20.60
4	1	0	1	0	2.20	2.20	35.60	20.60
5	0	0	0.6	0.6	2.80	2.80	35.60	20.60
6	0	1	0	1	2.80	3.80	35.60	20.60
7	0	0	0.6	0.6	3.40	4.40	35.60	20.60
8	0	0	0.6	0.6	4.00	5.00	35.60	20.60
9	0	0	0.6	0.6	4.60	5.60	35.60	20.60
10	0	0	0.6	0.6	5.20	6.20	35.60	20.60
11	1	0	1	0	6.20	6.20	35.60	20.60
12	0	0	0.6	0.6	6.80	6.80	35.60	20.60
13	0	0	0.6	0.6	7.40	7.40	35.60	20.60
14	0	0	0.6	0.6	8.00	8.00	35.60	20.60
15	0	0	0.6	0.6	8.60	8.60	35.60	20.60
16	0	0	0.6	0.6	9.20	9.20	35.60	20.60
17	0	0	0.6	0.6	9.80	9.80	35.60	20.60
18	0	0	0.6	0.6	10.40	10.40	35.60	20.60
19	0	0	0.6	0.6	11.00	11.00	35.60	20.60
20	0	0	0.6	0.6	11.60	11.60	35.60	20.60
21	0	0	0.6	0.6	12.20	12.20	35.60	20.60
22	0	0	0.6	0.6	12.80	12.80	35.60	20.60
23	0	0	0.6	0.6	13.40	13.40	35.60	20.60
24	0	0	0.6	0.6	14.00	14.00	35.60	20.60
25	0	0	0.6	0.6	14.60	14.60	35.60	20.60
26	0	0	0.6	0.6	15.20	15.20	35.60	20.60
27	0	0	0.6	0.6	15.80	15.80	35.60	20.60
28	0	0	0.6	0.6	16.40	16.40	35.60	20.60
29	0	0	0.6	0.6	17.00	17.00	35.60	20.60
30	0	0	0.6	0.6	17.60	17.60	35.60	20.60
31	0	0	0.6	0.6	18.20	18.20	35.60	20.60
32	0	0	0.6	0.6	18.80	18.80	35.60	20.60
33	0	0	0.6	0.6	19.40	19.40	35.60	20.60
34	0	0	0.6	0.6	20.00	20.00	35.60	20.60
35	0	0	0.6	0.6	20.60	20.60	35.60	20.60
36	1	0	1	0	21.60	20.60	35.60	20.60
37	1	0	1	0	22.60	20.60	35.60	20.60
38	1	0	1	0	23.60	20.60	35.60	20.60
39	1	0	1	0	24.60	20.60	35.60	20.60
40	1	0	1	0	25.60	20.60	35.60	20.60
41	1	0	1	0	26.60	20.60	35.60	20.60
42	1	0	1	0	27.60	20.60	35.60	20.60
43	1	0	1	0	28.60	20.60	35.60	20.60
44	1	0	1	0	29.60	20.60	35.60	20.60
45	1	0	1	0	30.60	20.60	35.60	20.60
46	1	0	1	0	31.60	20.60	35.60	20.60
47	1	0	1	0	32.60	20.60	35.60	20.60
48	1	0	1	0	33.60	20.60	35.60	20.60
49	1	0	1	0	34.60	20.60	35.60	20.60
50	1	0	1	0	35.60	20.60	35.60	20.60
ROUND_NO10	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	25.00	25.00
2	1	0	1	0	1.00	1.00	25.00	25.00
3	0	1	0	1	1.00	2.00	25.00	25.00
4	1	0	1	0	2.00	2.00	25.00	25.00
5	0	1	0	1	2.00	3.00	25.00	25.00
6	1	0	1	0	3.00	3.00	25.00	25.00
7	0	1	0	1	3.00	4.00	25.00	25.00
8	1	0	1	0	4.00	4.00	25.00	25.00
9	0	1	0	1	4.00	5.00	25.00	25.00
10	1	0	1	0	5.00	5.00	25.00	25.00
11	0	1	0	1	5.00	6.00	25.00	25.00
12	1	0	1	0	6.00	6.00	25.00	25.00
13	0	1	0	1	6.00	7.00	25.00	25.00
14	1	0	1	0	7.00	7.00	25.00	25.00
15	0	1	0	1	7.00	8.00	25.00	25.00
16	1	0	1	0	8.00	8.00	25.00	25.00
17	0	1	0	1	8.00	9.00	25.00	25.00
18	1	0	1	0	9.00	9.00	25.00	25.00
19	0	1	0	1	9.00	10.00	25.00	25.00
20	1	0	1	0	10.00	10.00	25.00	25.00
21	0	1	0	1	10.00	11.00	25.00	25.00
22	1	0	1	0	11.00	11.00	25.00	25.00
23	0	1	0	1	11.00	12.00	25.00	25.00
24	1	0	1	0	12.00	12.00	25.00	25.00
25	0	1	0	1	12.00	13.00	25.00	25.00
26	1	0	1	0	13.00	13.00	25.00	25.00
27	0	1	0	1	13.00	14.00	25.00	25.00
28	1	0	1	0	14.00	14.00	25.00	25.00
29	0	1	0	1	14.00	15.00	25.00	25.00
30	1	0	1	0	15.00	15.00	25.00	25.00
31	0	1	0	1	15.00	16.00	25.00	25.00
32	1	0	1	0	16.00	16.00	25.00	25.00
33	0	1	0	1	16.00	17.00	25.00	25.00
34	1	0	1	0	17.00	17.00	25.00	25.00
35	0	1	0	1	17.00	18.00	25.00	25.00
36	1	0	1	0	18.00	18.00	25.00	25.00
37	0	1	0	1	18.00	19.00	25.00	25.00
38	1	0	1	0	19.00	19.00	25.00	25.00
39	0	1	0	1	19.00	20.00	25.00	25.00
40	1	0	1	0	20.00	20.00	25.00	25.00
41	0	1	0	1	20.00	21.00	25.00	25.00
42	1	0	1	0	21.00	21.00	25.00	25.00
