HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	0	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	0	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	0	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	0	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	0	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	0	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	1	22.199999999999992	23.2
HUMAN	4	1	0	22.199999999999992	23.2
